;  Created 01-Feb-2016 ECMD Adapted from stx_cfl_skyvec_table.txt 20-Jun-2013 - Shaun Bloomfield (TCD)
;
;  CFL sky X sampling (in arcminutes) from STIX optical axis, nominally 67 samples spaced 2 arcminutes apart
;
-66. -64. -62. -60. -58. -56. -54. -52. -50. -48. -46. -44. -42. -40. -38. -36. -34. -32. -30. -28. -26. -24. -22. -20. -18. -16. -14. -12. -10.  -8.  -6.  -4.  -2.   0.   2.   4.   6.   8.  10.  12.  14.  16.  18.  20.  22.  24.  26.  28.  30.  32.  34.  36.  38.  40.  42.  44.  46.  48.  50.  52.  54.  56.  58.  60.  62.  64.  66.
;
;  CFL sky Y sampling (in arcminutes) from STIX optical axis, nominally 67 samples spaced 2 arcminutes apart
;
-66. -64. -62. -60. -58. -56. -54. -52. -50. -48. -46. -44. -42. -40. -38. -36. -34. -32. -30. -28. -26. -24. -22. -20. -18. -16. -14. -12. -10.  -8.  -6.  -4.  -2.   0.   2.   4.   6.   8.  10.  12.  14.  16.  18.  20.  22.  24.  26.  28.  30.  32.  34.  36.  38.  40.  42.  44.  46.  48.  50.  52.  54.  56.  58.  60.  62.  64.  66.
;
;  CFL [npixels, nvectors] sky vector array, nominally has [12, 4489] entries where nvectors is nsky_x*nsky_y (67x67)
;
0.0000000 0.0000000 0.0344161 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.2423919 0.0000000 0.0000000 
0.0000000 0.0344154 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.2423920 0.0000000 0.0000000 0.0000000 
0.0000000 0.0316263 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.2424143 0.0000000 0.0000000 0.0000000 
0.0000000 0.0243335 0.0064562 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.2424392 0.0127090 0.0000000 0.0000000 
0.0000000 0.0146027 0.0161763 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.2423550 0.0318432 0.0000000 0.0000000 
0.0000000 0.0048758 0.0258755 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.2421366 0.0509359 0.0000000 0.0000000 
0.0000000 0.0000000 0.0307119 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.2418266 0.0699672 0.0000000 0.0000000 
0.0000000 0.0000000 0.0306654 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.2414602 0.0889281 0.0000000 0.0000000 
0.0000000 0.0000000 0.0306080 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.2410082 0.1077927 0.0000000 0.0000000 
0.0032036 0.0000000 0.0273389 0.0032035 0.0000000 0.0000000 0.0000000 0.0000000 0.2404917 0.1265519 0.0000000 0.0000000 
