energies,det-0,det-1,det-2,det-3,det-4,det-5,det-6,det-7,det-8,det-9,det-10,det-11,det-12,det-13,det-14,det-15,det-16,det-17,det-18,det-19,det-20,det-21,det-22,det-23,det-24,det-25,det-26,det-27,det-28,det-29,det-30,det-31
4.0,1.8336015973227205e-05,1.8336015973227205e-05,1.8336015973227205e-05,1.8336015973227205e-05,1.8336015973227205e-05,1.8336015973227205e-05,1.8336015973227205e-05,1.8336015973227205e-05,1.8336015973227205e-05,1.8336015973227205e-05,4.272413967499514e-06,4.272413967499514e-06,4.272413967499514e-06,1.8336015973227205e-05,1.8336015973227205e-05,1.8336015973227205e-05,4.272413967499514e-06,4.272413967499514e-06,4.272413967499514e-06,1.8336015973227205e-05,1.8336015973227205e-05,1.8336015973227205e-05,1.8336015973227205e-05,1.8336015973227205e-05,1.8336015973227205e-05,1.8336015973227205e-05,1.8336015973227205e-05,1.8336015973227205e-05,1.8336015973227205e-05,1.8336015973227205e-05,1.8336015973227205e-05,1.8336015973227205e-05
5.0,0.002221005684482629,0.002221005684482629,0.002221005684482629,0.002221005684482629,0.002221005684482629,0.002221005684482629,0.002221005684482629,0.002221005684482629,0.002221005684482629,0.002221005684482629,0.001057064118021431,0.001057064118021431,0.001057064118021431,0.002221005684482629,0.002221005684482629,0.002221005684482629,0.001057064118021431,0.001057064118021431,0.001057064118021431,0.002221005684482629,0.002221005684482629,0.002221005684482629,0.002221005684482629,0.002221005684482629,0.002221005684482629,0.002221005684482629,0.002221005684482629,0.002221005684482629,0.002221005684482629,0.002221005684482629,0.002221005684482629,0.002221005684482629
6.0,0.028424484703935025,0.028424484703935025,0.028424484703935025,0.028424484703935025,0.028424484703935025,0.028424484703935025,0.028424484703935025,0.028424484703935025,0.028424484703935025,0.028424484703935025,0.018543313332195437,0.018543313332195437,0.018543313332195437,0.028424484703935025,0.028424484703935025,0.028424484703935025,0.018543313332195437,0.018543313332195437,0.018543313332195437,0.028424484703935025,0.028424484703935025,0.028424484703935025,0.028424484703935025,0.028424484703935025,0.028424484703935025,0.028424484703935025,0.028424484703935025,0.028424484703935025,0.028424484703935025,0.028424484703935025,0.028424484703935025,0.028424484703935025
7.0,0.1022889061283311,0.1022889061283311,0.1022889061283311,0.1022889061283311,0.1022889061283311,0.1022889061283311,0.1022889061283311,0.1022889061283311,0.1022889061283311,0.1022889061283311,0.07824123399396493,0.07824123399396493,0.07824123399396493,0.1022889061283311,0.1022889061283311,0.1022889061283311,0.07824123399396493,0.07824123399396493,0.07824123399396493,0.1022889061283311,0.1022889061283311,0.1022889061283311,0.1022889061283311,0.1022889061283311,0.1022889061283311,0.1022889061283311,0.1022889061283311,0.1022889061283311,0.1022889061283311,0.1022889061283311,0.1022889061283311,0.1022889061283311
8.0,0.21218951781098594,0.21218951781098594,0.21218951781098594,0.21218951781098594,0.21218951781098594,0.21218951781098594,0.21218951781098594,0.21218951781098594,0.21218951781098594,0.21218951781098594,0.17741169575055737,0.17741169575055737,0.17741169575055737,0.21218951781098594,0.21218951781098594,0.21218951781098594,0.17741169575055737,0.17741169575055737,0.17741169575055737,0.21218951781098594,0.21218951781098594,0.21218951781098594,0.21218951781098594,0.21218951781098594,0.21218951781098594,0.21218951781098594,0.21218951781098594,0.21218951781098594,0.21218951781098594,0.21218951781098594,0.21218951781098594,0.21218951781098594
9.0,0.32515736033065357,0.32515736033065357,0.32515736033065357,0.32515736033065357,0.32515736033065357,0.32515736033065357,0.32515736033065357,0.32515736033065357,0.32515736033065357,0.32515736033065357,0.2865932952930349,0.2865932952930349,0.2865932952930349,0.32515736033065357,0.32515736033065357,0.32515736033065357,0.2865932952930349,0.2865932952930349,0.2865932952930349,0.32515736033065357,0.32515736033065357,0.32515736033065357,0.32515736033065357,0.32515736033065357,0.32515736033065357,0.32515736033065357,0.32515736033065357,0.32515736033065357,0.32515736033065357,0.32515736033065357,0.32515736033065357,0.32515736033065357
10.0,0.43047618804907023,0.43047618804907023,0.43047618804907023,0.43047618804907023,0.43047618804907023,0.43047618804907023,0.43047618804907023,0.43047618804907023,0.43047618804907023,0.43047618804907023,0.3924835658613486,0.3924835658613486,0.3924835658613486,0.43047618804907023,0.43047618804907023,0.43047618804907023,0.3924835658613486,0.3924835658613486,0.3924835658613486,0.43047618804907023,0.43047618804907023,0.43047618804907023,0.43047618804907023,0.43047618804907023,0.43047618804907023,0.43047618804907023,0.43047618804907023,0.43047618804907023,0.43047618804907023,0.43047618804907023,0.43047618804907023,0.43047618804907023
11.0,0.510437377750798,0.510437377750798,0.510437377750798,0.510437377750798,0.510437377750798,0.510437377750798,0.510437377750798,0.510437377750798,0.510437377750798,0.510437377750798,0.47543554368006047,0.47543554368006047,0.47543554368006047,0.510437377750798,0.510437377750798,0.510437377750798,0.47543554368006047,0.47543554368006047,0.47543554368006047,0.510437377750798,0.510437377750798,0.510437377750798,0.510437377750798,0.510437377750798,0.510437377750798,0.510437377750798,0.510437377750798,0.510437377750798,0.510437377750798,0.510437377750798,0.510437377750798,0.510437377750798
12.0,0.5779600515915002,0.5779600515915002,0.5779600515915002,0.5779600515915002,0.5779600515915002,0.5779600515915002,0.5779600515915002,0.5779600515915002,0.5779600515915002,0.5779600515915002,0.5465396071790145,0.5465396071790145,0.5465396071790145,0.5779600515915002,0.5779600515915002,0.5779600515915002,0.5465396071790145,0.5465396071790145,0.5465396071790145,0.5779600515915002,0.5779600515915002,0.5779600515915002,0.5779600515915002,0.5779600515915002,0.5779600515915002,0.5779600515915002,0.5779600515915002,0.5779600515915002,0.5779600515915002,0.5779600515915002,0.5779600515915002,0.5779600515915002
13.0,0.6343993802158214,0.6343993802158214,0.6343993802158214,0.6343993802158214,0.6343993802158214,0.6343993802158214,0.6343993802158214,0.6343993802158214,0.6343993802158214,0.6343993802158214,0.6065731883865382,0.6065731883865382,0.6065731883865382,0.6343993802158214,0.6343993802158214,0.6343993802158214,0.6065731883865382,0.6065731883865382,0.6065731883865382,0.6343993802158214,0.6343993802158214,0.6343993802158214,0.6343993802158214,0.6343993802158214,0.6343993802158214,0.6343993802158214,0.6343993802158214,0.6343993802158214,0.6343993802158214,0.6343993802158214,0.6343993802158214,0.6343993802158214
14.0,0.6814535062876912,0.6814535062876912,0.6814535062876912,0.6814535062876912,0.6814535062876912,0.6814535062876912,0.6814535062876912,0.6814535062876912,0.6814535062876912,0.6814535062876912,0.6569660227289676,0.6569660227289676,0.6569660227289676,0.6814535062876912,0.6814535062876912,0.6814535062876912,0.6569660227289676,0.6569660227289676,0.6569660227289676,0.6814535062876912,0.6814535062876912,0.6814535062876912,0.6814535062876912,0.6814535062876912,0.6814535062876912,0.6814535062876912,0.6814535062876912,0.6814535062876912,0.6814535062876912,0.6814535062876912,0.6814535062876912,0.6814535062876912
15.0,0.7207485747591049,0.7207485747591049,0.7207485747591049,0.7207485747591049,0.7207485747591049,0.7207485747591049,0.7207485747591049,0.7207485747591049,0.7207485747591049,0.7207485747591049,0.6992435924744898,0.6992435924744898,0.6992435924744898,0.7207485747591049,0.7207485747591049,0.7207485747591049,0.6992435924744898,0.6992435924744898,0.6992435924744898,0.7207485747591049,0.7207485747591049,0.7207485747591049,0.7207485747591049,0.7207485747591049,0.7207485747591049,0.7207485747591049,0.7207485747591049,0.7207485747591049,0.7207485747591049,0.7207485747591049,0.7207485747591049,0.7207485747591049
16.0,0.7460472974405651,0.7460472974405651,0.7460472974405651,0.7460472974405651,0.7460472974405651,0.7460472974405651,0.7460472974405651,0.7460472974405651,0.7460472974405651,0.7460472974405651,0.7268064237629253,0.7268064237629253,0.7268064237629253,0.7460472974405651,0.7460472974405651,0.7460472974405651,0.7268064237629253,0.7268064237629253,0.7268064237629253,0.7460472974405651,0.7460472974405651,0.7460472974405651,0.7460472974405651,0.7460472974405651,0.7460472974405651,0.7460472974405651,0.7460472974405651,0.7460472974405651,0.7460472974405651,0.7460472974405651,0.7460472974405651,0.7460472974405651
18.0,0.7862498234875698,0.7862498234875698,0.7862498234875698,0.7862498234875698,0.7862498234875698,0.7862498234875698,0.7862498234875698,0.7862498234875698,0.7862498234875698,0.7862498234875698,0.7706995672484048,0.7706995672484048,0.7706995672484048,0.7862498234875698,0.7862498234875698,0.7862498234875698,0.7706995672484048,0.7706995672484048,0.7706995672484048,0.7862498234875698,0.7862498234875698,0.7862498234875698,0.7862498234875698,0.7862498234875698,0.7862498234875698,0.7862498234875698,0.7862498234875698,0.7862498234875698,0.7862498234875698,0.7862498234875698,0.7862498234875698,0.7862498234875698
20.0,0.8164563266919632,0.8164563266919632,0.8164563266919632,0.8164563266919632,0.8164563266919632,0.8164563266919632,0.8164563266919632,0.8164563266919632,0.8164563266919632,0.8164563266919632,0.8037102517133321,0.8037102517133321,0.8037102517133321,0.8164563266919632,0.8164563266919632,0.8164563266919632,0.8037102517133321,0.8037102517133321,0.8037102517133321,0.8164563266919632,0.8164563266919632,0.8164563266919632,0.8164563266919632,0.8164563266919632,0.8164563266919632,0.8164563266919632,0.8164563266919632,0.8164563266919632,0.8164563266919632,0.8164563266919632,0.8164563266919632,0.8164563266919632
22.0,0.8324358543386089,0.8324358543386089,0.8324358543386089,0.8324358543386089,0.8324358543386089,0.8324358543386089,0.8324358543386089,0.8324358543386089,0.8324358543386089,0.8324358543386089,0.8212454457260328,0.8212454457260328,0.8212454457260328,0.8324358543386089,0.8324358543386089,0.8324358543386089,0.8212454457260328,0.8212454457260328,0.8212454457260328,0.8324358543386089,0.8324358543386089,0.8324358543386089,0.8324358543386089,0.8324358543386089,0.8324358543386089,0.8324358543386089,0.8324358543386089,0.8324358543386089,0.8324358543386089,0.8324358543386089,0.8324358543386089,0.8324358543386089
25.0,0.8508755867384968,0.8508755867384968,0.8508755867384968,0.8508755867384968,0.8508755867384968,0.8508755867384968,0.8508755867384968,0.8508755867384968,0.8508755867384968,0.8508755867384968,0.8414985600975694,0.8414985600975694,0.8414985600975694,0.8508755867384968,0.8508755867384968,0.8508755867384968,0.8414985600975694,0.8414985600975694,0.8414985600975694,0.8508755867384968,0.8508755867384968,0.8508755867384968,0.8508755867384968,0.8508755867384968,0.8508755867384968,0.8508755867384968,0.8508755867384968,0.8508755867384968,0.8508755867384968,0.8508755867384968,0.8508755867384968,0.8508755867384968
28.0,0.8648514961302837,0.8648514961302837,0.8648514961302837,0.8648514961302837,0.8648514961302837,0.8648514961302837,0.8648514961302837,0.8648514961302837,0.8648514961302837,0.8648514961302837,0.8568445725317617,0.8568445725317617,0.8568445725317617,0.8648514961302837,0.8648514961302837,0.8648514961302837,0.8568445725317617,0.8568445725317617,0.8568445725317617,0.8648514961302837,0.8648514961302837,0.8648514961302837,0.8648514961302837,0.8648514961302837,0.8648514961302837,0.8648514961302837,0.8648514961302837,0.8648514961302837,0.8648514961302837,0.8648514961302837,0.8648514961302837,0.8648514961302837
32.0,0.8765110868444832,0.8765110868444832,0.8765110868444832,0.8765110868444832,0.8765110868444832,0.8765110868444832,0.8765110868444832,0.8765110868444832,0.8765110868444832,0.8765110868444832,0.8696132493214835,0.8696132493214835,0.8696132493214835,0.8765110868444832,0.8765110868444832,0.8765110868444832,0.8696132493214835,0.8696132493214835,0.8696132493214835,0.8765110868444832,0.8765110868444832,0.8765110868444832,0.8765110868444832,0.8765110868444832,0.8765110868444832,0.8765110868444832,0.8765110868444832,0.8765110868444832,0.8765110868444832,0.8765110868444832,0.8765110868444832,0.8765110868444832
36.0,0.8822627810037033,0.8822627810037033,0.8822627810037033,0.8822627810037033,0.8822627810037033,0.8822627810037033,0.8822627810037033,0.8822627810037033,0.8822627810037033,0.8822627810037033,0.8760038797502527,0.8760038797502527,0.8760038797502527,0.8822627810037033,0.8822627810037033,0.8822627810037033,0.8760038797502527,0.8760038797502527,0.8760038797502527,0.8822627810037033,0.8822627810037033,0.8822627810037033,0.8822627810037033,0.8822627810037033,0.8822627810037033,0.8822627810037033,0.8822627810037033,0.8822627810037033,0.8822627810037033,0.8822627810037033,0.8822627810037033,0.8822627810037033
40.0,0.8863243957127613,0.8863243957127613,0.8863243957127613,0.8863243957127613,0.8863243957127613,0.8863243957127613,0.8863243957127613,0.8863243957127613,0.8863243957127613,0.8863243957127613,0.8805882907927003,0.8805882907927003,0.8805882907927003,0.8863243957127613,0.8863243957127613,0.8863243957127613,0.8805882907927003,0.8805882907927003,0.8805882907927003,0.8863243957127613,0.8863243957127613,0.8863243957127613,0.8863243957127613,0.8863243957127613,0.8863243957127613,0.8863243957127613,0.8863243957127613,0.8863243957127613,0.8863243957127613,0.8863243957127613,0.8863243957127613,0.8863243957127613
45.0,0.8913325801857402,0.8913325801857402,0.8913325801857402,0.8913325801857402,0.8913325801857402,0.8913325801857402,0.8913325801857402,0.8913325801857402,0.8913325801857402,0.8913325801857402,0.8859312869231811,0.8859312869231811,0.8859312869231811,0.8913325801857402,0.8913325801857402,0.8913325801857402,0.8859312869231811,0.8859312869231811,0.8859312869231811,0.8913325801857402,0.8913325801857402,0.8913325801857402,0.8913325801857402,0.8913325801857402,0.8913325801857402,0.8913325801857402,0.8913325801857402,0.8913325801857402,0.8913325801857402,0.8913325801857402,0.8913325801857402,0.8913325801857402
50.0,0.8953883484381924,0.8953883484381924,0.8953883484381924,0.8953883484381924,0.8953883484381924,0.8953883484381924,0.8953883484381924,0.8953883484381924,0.8953883484381924,0.8953883484381924,0.8902704456254713,0.8902704456254713,0.8902704456254713,0.8953883484381924,0.8953883484381924,0.8953883484381924,0.8902704456254713,0.8902704456254713,0.8902704456254713,0.8953883484381924,0.8953883484381924,0.8953883484381924,0.8953883484381924,0.8953883484381924,0.8953883484381924,0.8953883484381924,0.8953883484381924,0.8953883484381924,0.8953883484381924,0.8953883484381924,0.8953883484381924,0.8953883484381924
56.0,0.8988893266585506,0.8988893266585506,0.8988893266585506,0.8988893266585506,0.8988893266585506,0.8988893266585506,0.8988893266585506,0.8988893266585506,0.8988893266585506,0.8988893266585506,0.8939859612971233,0.8939859612971233,0.8939859612971233,0.8988893266585506,0.8988893266585506,0.8988893266585506,0.8939859612971233,0.8939859612971233,0.8939859612971233,0.8988893266585506,0.8988893266585506,0.8988893266585506,0.8988893266585506,0.8988893266585506,0.8988893266585506,0.8988893266585506,0.8988893266585506,0.8988893266585506,0.8988893266585506,0.8988893266585506,0.8988893266585506,0.8988893266585506
63.0,0.9021751232347572,0.9021751232347572,0.9021751232347572,0.9021751232347572,0.9021751232347572,0.9021751232347572,0.9021751232347572,0.9021751232347572,0.9021751232347572,0.9021751232347572,0.897467076268016,0.897467076268016,0.897467076268016,0.9021751232347572,0.9021751232347572,0.9021751232347572,0.897467076268016,0.897467076268016,0.897467076268016,0.9021751232347572,0.9021751232347572,0.9021751232347572,0.9021751232347572,0.9021751232347572,0.9021751232347572,0.9021751232347572,0.9021751232347572,0.9021751232347572,0.9021751232347572,0.9021751232347572,0.9021751232347572,0.9021751232347572
70.0,0.9048352975956028,0.9048352975956028,0.9048352975956028,0.9048352975956028,0.9048352975956028,0.9048352975956028,0.9048352975956028,0.9048352975956028,0.9048352975956028,0.9048352975956028,0.900272946361035,0.900272946361035,0.900272946361035,0.9048352975956028,0.9048352975956028,0.9048352975956028,0.900272946361035,0.900272946361035,0.900272946361035,0.9048352975956028,0.9048352975956028,0.9048352975956028,0.9048352975956028,0.9048352975956028,0.9048352975956028,0.9048352975956028,0.9048352975956028,0.9048352975956028,0.9048352975956028,0.9048352975956028,0.9048352975956028,0.9048352975956028
76.0,0.9068174707652776,0.9068174707652776,0.9068174707652776,0.9068174707652776,0.9068174707652776,0.9068174707652776,0.9068174707652776,0.9068174707652776,0.9068174707652776,0.9068174707652776,0.9023660396541782,0.9023660396541782,0.9023660396541782,0.9068174707652776,0.9068174707652776,0.9068174707652776,0.9023660396541782,0.9023660396541782,0.9023660396541782,0.9068174707652776,0.9068174707652776,0.9068174707652776,0.9068174707652776,0.9068174707652776,0.9068174707652776,0.9068174707652776,0.9068174707652776,0.9068174707652776,0.9068174707652776,0.9068174707652776,0.9068174707652776,0.9068174707652776
84.0,0.9091586775208056,0.9091586775208056,0.9091586775208056,0.9091586775208056,0.9091586775208056,0.9091586775208056,0.9091586775208056,0.9091586775208056,0.9091586775208056,0.9091586775208056,0.9048315118053407,0.9048315118053407,0.9048315118053407,0.9091586775208056,0.9091586775208056,0.9091586775208056,0.9048315118053407,0.9048315118053407,0.9048315118053407,0.9091586775208056,0.9091586775208056,0.9091586775208056,0.9091586775208056,0.9091586775208056,0.9091586775208056,0.9091586775208056,0.9091586775208056,0.9091586775208056,0.9091586775208056,0.9091586775208056,0.9091586775208056,0.9091586775208056
100.0,0.9130754384617992,0.9130754384617992,0.9130754384617992,0.9130754384617992,0.9130754384617992,0.9130754384617992,0.9130754384617992,0.9130754384617992,0.9130754384617992,0.9130754384617992,0.90894442538456,0.90894442538456,0.90894442538456,0.9130754384617992,0.9130754384617992,0.9130754384617992,0.90894442538456,0.90894442538456,0.90894442538456,0.9130754384617992,0.9130754384617992,0.9130754384617992,0.9130754384617992,0.9130754384617992,0.9130754384617992,0.9130754384617992,0.9130754384617992,0.9130754384617992,0.9130754384617992,0.9130754384617992,0.9130754384617992,0.9130754384617992
120.0,0.9172744776157097,0.9172744776157097,0.9172744776157097,0.9172744776157097,0.9172744776157097,0.9172744776157097,0.9172744776157097,0.9172744776157097,0.9172744776157097,0.9172744776157097,0.9133411602354384,0.9133411602354384,0.9133411602354384,0.9172744776157097,0.9172744776157097,0.9172744776157097,0.9133411602354384,0.9133411602354384,0.9133411602354384,0.9172744776157097,0.9172744776157097,0.9172744776157097,0.9172744776157097,0.9172744776157097,0.9172744776157097,0.9172744776157097,0.9172744776157097,0.9172744776157097,0.9172744776157097,0.9172744776157097,0.9172744776157097,0.9172744776157097
150.0,0.9221062206036968,0.9221062206036968,0.9221062206036968,0.9221062206036968,0.9221062206036968,0.9221062206036968,0.9221062206036968,0.9221062206036968,0.9221062206036968,0.9221062206036968,0.918403362796517,0.918403362796517,0.918403362796517,0.9221062206036968,0.9221062206036968,0.9221062206036968,0.918403362796517,0.918403362796517,0.918403362796517,0.9221062206036968,0.9221062206036968,0.9221062206036968,0.9221062206036968,0.9221062206036968,0.9221062206036968,0.9221062206036968,0.9221062206036968,0.9221062206036968,0.9221062206036968,0.9221062206036968,0.9221062206036968,0.9221062206036968
