front_window,rear_window,grid_covers,dem,attenuator,mli,calibration_foil,dead_layer,energy
4.1150580004842796e-13,9.978628449391485e-07,1.2151357468269176e-05,0.00020581100711385434,4.2464863645104595e-128,3.9170565797120373e-11,9.993328189994101e-06,0.7001111024892387,2.0
5.803259393567155e-11,1.5476931195062485e-05,0.0001031957840290321,0.0010238738855035997,1.6571285462654921e-106,3.447688802969799e-09,8.772866604139498e-05,0.7418586262941917,2.148
4.506440993340164e-09,0.00012212712144287922,0.0005267427985815844,0.0034769540808308446,1.1381582256812071e-89,1.0540378168640454e-07,0.0004595182263237434,0.7764092273851564,2.296
1.279471119428404e-07,0.0005960710710498381,0.0018648181131908257,0.008973820105563355,2.5036629096571293e-76,1.5045728211305542e-06,0.00166048718968455,0.8051437240937348,2.444
1.747233408421065e-06,0.002052279051971598,0.005047491913451315,0.01893680573199522,1.3252075935955536e-65,1.2267164483945806e-05,0.004569028016815575,0.8291778498509494,2.592
1.3868040303180093e-05,0.005457487861239429,0.011178192739487168,0.03437784864871517,7.076608367298191e-57,6.575525686977779e-05,0.010255058538021795,0.8494024507996639,2.74
7.311733146485128e-05,0.011948106774461955,0.021255408663217,0.05566754827950934,1.0776220475968395e-49,0.0002561455467347271,0.019716255474389724,0.8665257695501658,2.888
0.0002826179915591604,0.022562010689568087,0.03602045165889704,0.08268216988401267,1.1556788818821283e-43,0.0007842051980316218,0.033722858395232036,0.8811981306080815,3.036
0.0008621714891555227,0.03803456905172746,0.055992723300462136,0.1151061936906615,1.8786349990828917e-38,0.002006059283459884,0.05284219129477396,0.8939984624414002,3.184
0.0021681707480839087,0.05854205020648068,0.0807666400221529,0.15150396961571386,4.53894281072329e-34,0.004381187889262604,0.07673673542822994,0.904996286247565,3.332
0.004677907335100437,0.08384027888742847,0.10976280099754952,0.19069591321836737,2.3561400550706287e-30,0.008434542402038758,0.1048825686932574,0.9144964627923104,3.48
0.008926759927567885,0.11333959786827731,0.1421861431502611,0.2315490243971499,3.496260061524123e-27,0.014668910270264526,0.1365273549769478,0.922745074242841,3.628
0.015424776320456557,0.14624085012014212,0.17715505489505848,0.27306444888751014,1.8549626758670343e-24,0.02348844197082825,0.17081753050086612,0.9299418605923195,3.776
0.02457964261940746,0.18166123646857849,0.213800040143588,0.31441686768405064,4.200464042124324e-22,0.03514769373906643,0.20689816899306007,0.9362498630293955,3.924
0.01793261153753979,0.21852635709166046,0.251510730990508,0.35515455544578534,4.953036631985584e-20,0.04982626519911827,0.24416670012250297,0.941833279746241,4.072
0.02678032490575487,0.2560116746341516,0.28962339690753075,0.3947982620714327,3.3539174088485247e-18,0.06751141138737853,0.2819577337120245,0.9467950784594511,4.22
0.03796449776989754,0.29366056731481677,0.3273750462040963,0.43279693803110336,1.343419238619588e-16,0.08791144021767841,0.31949523134147234,0.8677418640032398,4.368
0.051510542136984756,0.3309297448868006,0.3643138262488523,0.46892862056517826,3.4482262568711823e-15,0.11071193411693521,0.35631495517015793,0.8642897478565191,4.516
0.06734144790011402,0.3673919990725994,0.400101250716056,0.5030688558785634,6.056890367005704e-14,0.13553537266291313,0.39206500116825915,0.872387637486339,4.664
0.08529599236409383,0.4027259998397354,0.43449690129192187,0.5351678465210004,7.687329602718871e-13,0.16197580574506457,0.42649165102708664,0.8561537887212043,4.811999999999999
0.10515076321732407,0.43670227790290844,0.4673419523136779,0.565231134998373,7.375761661618305e-12,0.18962667374868789,0.45942360615699324,0.84740002078987,4.96
0.1265329224691662,0.46859075712717785,0.49863936188403735,0.5933895838321107,5.686945289228811e-11,0.2182283766207787,0.4908586826235442,0.8573833633516612,5.108
0.14921762269456465,0.49871572401334163,0.5282775881749904,0.6196502650779835,3.566779423642955e-10,0.24735491939381013,0.5206713772089284,0.866524186799431,5.256
0.17296247361440845,0.5272625352600205,0.5562169431762513,0.6440701331186818,1.8534618647631586e-09,0.27664226301319206,0.5488110786603698,0.8748906028433139,5.404
0.19749501511384351,0.5542297290750124,0.58248442665757,0.6667503293621779,8.171009827571998e-09,0.3058162691982495,0.5752975206381139,0.882561775703695,5.552
0.22255968947598234,0.5796414901203283,0.6071283853203825,0.6877972001263067,3.118223211649774e-08,0.3346473088351774,0.6001730308418273,0.8896076806664756,5.699999999999999
0.24792342406812498,0.6035406253680238,0.6302118603396022,0.707318356465577,1.04802052053137e-07,0.3629480157032513,0.6234957325712416,0.8960902529651475,5.848
0.2733787044582289,0.6259829419437406,0.651807397914257,0.725419898091312,3.148476745427208e-07,0.3905697070827733,0.6453342061824351,0.902064391770637,5.996
0.29770979300072226,0.6457829546969677,0.6719454241356151,0.7421650532038669,8.690799667383015e-07,0.4174042514231919,0.6657227123439331,0.9078139596545701,6.144
0.321773968876626,0.664353848893859,0.6907581896907009,0.7576951930000964,2.1919172908837916e-06,0.44336144076553036,0.6847834548755135,0.9131228134191848,6.292
0.34548652825508597,0.6817968454960949,0.7083276342382723,0.7721037096315745,5.099452365953168e-06,0.4683822338689593,0.7025963151838449,0.9180263623877306,6.4399999999999995
0.36875423965611737,0.6981765131490377,0.7247329981315759,0.78547709789377,1.1038798532467673e-05,0.4924292012178953,0.7192391465405846,0.9225623703697504,6.588
0.39150209068744013,0.7135562685216725,0.7400511152507305,0.7978960003672506,2.2403022607435433e-05,0.5154826158434536,0.7347877745149305,0.9267645262799554,6.736
0.4136712846139565,0.7279976393498842,0.75435566873404,0.8094352596825354,4.290998476676749e-05,0.5375371378001393,0.7493151794268784,0.9306629338891697,6.8839999999999995
