energies,det-0,det-1,det-2,det-3,det-4,det-5,det-6,det-7,det-8,det-9,det-10,det-11,det-12,det-13,det-14,det-15,det-16,det-17,det-18,det-19,det-20,det-21,det-22,det-23,det-24,det-25,det-26,det-27,det-28,det-29,det-30,det-31,attenuator
6.144,0.03189783606853983,0.03189783606853983,0.03189783606853983,0.03189783606853983,0.03189783606853983,0.03189783606853983,0.03189783606853983,0.03189783606853983,0.03189783606853983,0.03189783606853983,0.021433604986083314,0.021433604986083314,0.021433604986083314,0.03189783606853983,0.03189783606853983,0.03189783606853983,0.021433604986083314,0.021433604986083314,0.021433604986083314,0.03189783606853983,0.03189783606853983,0.03189783606853983,0.03189783606853983,0.03189783606853983,0.03189783606853983,0.03189783606853983,0.03189783606853983,0.03189783606853983,0.03189783606853983,0.03189783606853983,0.03189783606853983,0.03189783606853983,1.1092956158055888e-08
6.292,0.040111767801673456,0.040111767801673456,0.040111767801673456,0.040111767801673456,0.040111767801673456,0.040111767801673456,0.040111767801673456,0.040111767801673456,0.040111767801673456,0.040111767801673456,0.0277075321119777,0.0277075321119777,0.0277075321119777,0.040111767801673456,0.040111767801673456,0.040111767801673456,0.0277075321119777,0.0277075321119777,0.0277075321119777,0.040111767801673456,0.040111767801673456,0.040111767801673456,0.040111767801673456,0.040111767801673456,0.040111767801673456,0.040111767801673456,0.040111767801673456,0.040111767801673456,0.040111767801673456,0.040111767801673456,0.040111767801673456,0.040111767801673456,3.711144255141852e-08
6.4399999999999995,0.04943818069078703,0.04943818069078703,0.04943818069078703,0.04943818069078703,0.04943818069078703,0.04943818069078703,0.04943818069078703,0.04943818069078703,0.04943818069078703,0.04943818069078703,0.035018429569749404,0.035018429569749404,0.035018429569749404,0.04943818069078703,0.04943818069078703,0.04943818069078703,0.035018429569749404,0.035018429569749404,0.035018429569749404,0.04943818069078703,0.04943818069078703,0.04943818069078703,0.04943818069078703,0.04943818069078703,0.04943818069078703,0.04943818069078703,0.04943818069078703,0.04943818069078703,0.04943818069078703,0.04943818069078703,0.04943818069078703,0.04943818069078703,1.117800554562515e-07
6.588,0.05985120893028192,0.05985120893028192,0.05985120893028192,0.05985120893028192,0.05985120893028192,0.05985120893028192,0.05985120893028192,0.05985120893028192,0.05985120893028192,0.05985120893028192,0.043376146089842554,0.043376146089842554,0.043376146089842554,0.05985120893028192,0.05985120893028192,0.05985120893028192,0.043376146089842554,0.043376146089842554,0.043376146089842554,0.05985120893028192,0.05985120893028192,0.05985120893028192,0.05985120893028192,0.05985120893028192,0.05985120893028192,0.05985120893028192,0.05985120893028192,0.05985120893028192,0.05985120893028192,0.05985120893028192,0.05985120893028192,0.05985120893028192,2.7807676800624506e-07
6.736,0.07130557221038723,0.07130557221038723,0.07130557221038723,0.07130557221038723,0.07130557221038723,0.07130557221038723,0.07130557221038723,0.07130557221038723,0.07130557221038723,0.07130557221038723,0.05276976823788857,0.05276976823788857,0.05276976823788857,0.07130557221038723,0.07130557221038723,0.07130557221038723,0.05276976823788857,0.05276976823788857,0.05276976823788857,0.07130557221038723,0.07130557221038723,0.07130557221038723,0.07130557221038723,0.07130557221038723,0.07130557221038723,0.07130557221038723,0.07130557221038723,0.07130557221038723,0.07130557221038723,0.07130557221038723,0.07130557221038723,0.07130557221038723,7.048382905948185e-07
6.8839999999999995,0.08373990138639183,0.08373990138639183,0.08373990138639183,0.08373990138639183,0.08373990138639183,0.08373990138639183,0.08373990138639183,0.08373990138639183,0.08373990138639183,0.08373990138639183,0.06316966931005417,0.06316966931005417,0.06316966931005417,0.08373990138639183,0.08373990138639183,0.08373990138639183,0.06316966931005417,0.06316966931005417,0.06316966931005417,0.08373990138639183,0.08373990138639183,0.08373990138639183,0.08373990138639183,0.08373990138639183,0.08373990138639183,0.08373990138639183,0.08373990138639183,0.08373990138639183,0.08373990138639183,0.08373990138639183,0.08373990138639183,0.08373990138639183,1.6562694901534824e-06
7.032,0.09708021492288721,0.09708021492288721,0.09708021492288721,0.09708021492288721,0.09708021492288721,0.09708021492288721,0.09708021492288721,0.09708021492288721,0.09708021492288721,0.09708021492288721,0.07453010435503364,0.07453010435503364,0.07453010435503364,0.09708021492288721,0.09708021492288721,0.09708021492288721,0.07453010435503364,0.07453010435503364,0.07453010435503364,0.09708021492288721,0.09708021492288721,0.09708021492288721,0.09708021492288721,0.09708021492288721,0.09708021492288721,0.09708021492288721,0.09708021492288721,0.09708021492288721,0.09708021492288721,0.09708021492288721,0.09708021492288721,0.09708021492288721,3.635715989179515e-06
7.18,0.09824187392976905,0.09824187392976905,0.09824187392976905,0.09824187392976905,0.09824187392976905,0.09824187392976905,0.09824187392976905,0.09824187392976905,0.09824187392976905,0.09824187392976905,0.07664835473062871,0.07664835473062871,0.07664835473062871,0.09824187392976905,0.09824187392976905,0.09824187392976905,0.07664835473062871,0.07664835473062871,0.07664835473062871,0.09824187392976905,0.09824187392976905,0.09824187392976905,0.09824187392976905,0.09824187392976905,0.09824187392976905,0.09824187392976905,0.09824187392976905,0.09824187392976905,0.09824187392976905,0.09824187392976905,0.09824187392976905,0.09824187392976905,6.489205795399645e-06
7.327999999999999,0.11206202343229422,0.11206202343229422,0.11206202343229422,0.11206202343229422,0.11206202343229422,0.11206202343229422,0.11206202343229422,0.11206202343229422,0.11206202343229422,0.11206202343229422,0.08873844856876739,0.08873844856876739,0.08873844856876739,0.11206202343229422,0.11206202343229422,0.11206202343229422,0.08873844856876739,0.08873844856876739,0.08873844856876739,0.11206202343229422,0.11206202343229422,0.11206202343229422,0.11206202343229422,0.11206202343229422,0.11206202343229422,0.11206202343229422,0.11206202343229422,0.11206202343229422,0.11206202343229422,0.11206202343229422,0.11206202343229422,0.11206202343229422,1.2761416929029889e-05
7.476,0.12656654954821944,0.12656654954821944,0.12656654954821944,0.12656654954821944,0.12656654954821944,0.12656654954821944,0.12656654954821944,0.12656654954821944,0.12656654954821944,0.12656654954821944,0.10160518506958735,0.10160518506958735,0.10160518506958735,0.12656654954821944,0.12656654954821944,0.12656654954821944,0.10160518506958735,0.10160518506958735,0.10160518506958735,0.12656654954821944,0.12656654954821944,0.12656654954821944,0.12656654954821944,0.12656654954821944,0.12656654954821944,0.12656654954821944,0.12656654954821944,0.12656654954821944,0.12656654954821944,0.12656654954821944,0.12656654954821944,0.12656654954821944,2.3855136877697125e-05
7.624,0.14167004581494086,0.14167004581494086,0.14167004581494086,0.14167004581494086,0.14167004581494086,0.14167004581494086,0.14167004581494086,0.14167004581494086,0.14167004581494086,0.14167004581494086,0.11517628969185505,0.11517628969185505,0.11517628969185505,0.14167004581494086,0.14167004581494086,0.14167004581494086,0.11517628969185505,0.11517628969185505,0.11517628969185505,0.14167004581494086,0.14167004581494086,0.14167004581494086,0.14167004581494086,0.14167004581494086,0.14167004581494086,0.14167004581494086,0.14167004581494086,0.14167004581494086,0.14167004581494086,0.14167004581494086,0.14167004581494086,0.14167004581494086,4.258738586605375e-05
