front_window,rear_window,grid_covers,dem,attenuator,mli,calibration_foil,dead_layer,energy
1.1674148602995037e-13,5.317255819976848e-07,1.2151357468269154e-05,0.00020581100711385397,3.6095053616290756e-165,2.344564031521889e-11,9.516592835656256e-06,0.7001111181285937,2.0
1.8339736722152129e-13,6.624536916699714e-07,1.4323355029843567e-05,0.00023282712081181743,4.7653707151974466e-163,3.3285999839580114e-11,1.1253042001196389e-05,0.7031908878641213,2.01
2.855154923889563e-13,8.216866692670351e-07,1.6829836282742167e-05,0.00026276040249748685,5.768671542078465e-161,4.6939611061258725e-11,1.3263228791666835e-05,0.7062308518309462,2.0199999999999996
4.405880197466038e-13,1.0148163057037111e-06,1.9713498964369377e-05,0.00029585082576116334,6.415577380553404e-159,6.576062229586116e-11,1.5583087728683723e-05,0.7092315594142151,2.0299999999999994
6.740574909852642e-13,1.2480886310007807e-06,2.3021243019040603e-05,0.00033235068410806585,6.567558107222764e-157,9.153960733044254e-11,1.825222357389788e-05,0.7121935543390249,2.039999999999999
1.0226204579392733e-12,1.5287101940968851e-06,2.6804435260771923e-05,0.00037252463354781447,6.199907946482539e-155,1.266295554260955e-10,2.1314157882623614e-05,0.7151173745797804,2.049999999999999
1.5387732463968535e-12,1.8649632100205423e-06,3.111917604628052e-05,0.0004166496939232558,5.407079993267712e-153,1.7410383622697197e-10,2.481657911694715e-05,0.718003552281012,2.0599999999999987
2.297016492556285e-12,2.2663297642153787e-06,3.602656664485496e-05,0.0004650152082566061,4.364138916113284e-151,2.3795306898603075e-10,2.881159518456324e-05,0.7208526136889494,2.0699999999999985
3.402257184372516e-12,2.7436252036679112e-06,4.159297593621101e-05,0.0005179227596435122,3.26538274584523e-149,3.2332904342627487e-10,3.335598720550477e-05,0.7236650790931897,2.0799999999999983
5.001099264494681e-12,3.3091407788517587e-06,4.789030502234353e-05,0.0005756860454781588,2.2687733518250612e-147,4.3684521203778287e-10,3.851146325350556e-05,0.7264414627778264,2.089999999999998
7.29690233611261e-12,3.976795529921166e-06,5.499624830520574e-05,0.0006386307090424771,1.4661289765271968e-145,5.869448094187413e-10,4.434491077258826e-05,0.7291822729814446,2.099999999999998
1.0569719373751995e-11,4.762297335695575e-06,6.299454955919875e-05,0.0007070941287379895,8.825945854213204e-144,7.843493608004765e-10,5.092864633314243e-05,0.7318880118654133,2.1099999999999977
1.5202506097629367e-11,5.683312965493101e-06,7.197525151613966e-05,0.0007814251654774076,4.9570616621029205e-142,1.0426022248493675e-09,5.834066136562253e-05,0.7345591754899451,2.1199999999999974
2.171533514809417e-11,6.759646892580563e-06,8.203493748073105e-05,0.0008619838689834955,2.6014164235748503e-140,1.3787238788656476e-09,6.666486249435696e-05,0.73719625379741,2.1299999999999972
3.080975650716332e-11,8.013428544754651e-06,9.327696350651668e-05,0.000949141143962744,1.277466520668276e-138,1.813997898862309e-09,7.599130508894454e-05,0.7397997306024309,2.139999999999997
2.176602509923601e-11,9.469307583245683e-06,0.00010581167968572974,0.00104327837733008,5.878391020481192e-137,2.3749090112512393e-09,8.641641865636883e-05,0.7423700835882991,2.149999999999997
3.070908267950265e-11,1.1154656716653246e-05,0.0001197566391410061,0.0011447870278563043,2.538259464608383e-135,3.094257192501192e-09,9.804322271316866e-05,0.7449077843092918,2.1599999999999966
4.305032326569863e-11,1.3099781472927023e-05,0.00013523679335227014,0.0012540681797917818,1.0298311990858374e-133,4.012474560375133e-09,0.00011098153180358371,0.747413298198473,2.1699999999999964
5.997524014702483e-11,1.5338136270426652e-05,0.00015238467250768356,0.001371532062186678,3.931130860026432e-132,5.179174723867884e-09,0.00012534814836622613,0.7498870845806075,2.179999999999996
8.304547293841203e-11,1.7906546049758396e-05,0.00017134054963272382,0.001497597535779124,1.4136595104850075e-130,6.654967323683595e-09,0.0001412670421980593,0.7523295966898165,2.189999999999996
1.1430599028490002e-10,2.084543265229185e-05,0.00019225258732561917,0.0016326915494578435,4.794997319390015e-129,8.513573682096462e-09,0.0001588695153198559,0.7547412816916385,2.1999999999999957
1.564192124046434e-10,2.4199045059869847e-05,0.00021527696600968582,0.0017772485684244908,1.5359421867790806e-127,1.084428276747163e-08,0.00017829435111122227,0.7571225807091689,2.2099999999999955
2.128318831320916e-10,2.8015692544043287e-05,0.0002405779927027237,0.0019317099762824928,4.651765308664546e-126,1.3754790037811728e-08,0.00019968794665502516,0.7594739288529765,2.2199999999999953
2.8798152539906656e-10,3.234797971293754e-05,0.0002683281893997984,0.0020965234533649405,1.333575995568234e-124,1.7374465128826793e-08,0.00022320442731003259,0.761795755254507,2.229999999999995
3.875504712037325e-10,3.725304239026886e-05,0.0002987083602673751,0.002272142333682334,3.622954970349787e-123,2.1858097760886627e-08,0.0002490057426158726,0.7640884831027038,2.239999999999995
5.187767555821021e-10,4.2792783214669565e-05,0.000331907636953061,0.0024590249429236057,9.337472356242793e-122,2.7390174618050674e-08,0.00027726174272530205,0.7663525296835885,2.2499999999999947
6.908326115080616e-10,4.903410580885131e-05,0.00036812350142517394,0.002657633919980158,2.285499985021188e-120,3.418974326028408e-08,0.0003081502346544061,0.7685883064225615,2.2599999999999945
9.152829053989131e-10,5.604914633768245e-05,0.0004075617858690725,0.0028684355244840525,5.318283370180044e-119,4.251592232331533e-08,0.00034185701774088975,0.7707962189291946,2.2699999999999942
1.206637615894124e-09,6.391550125226463e-05,0.00045043664928152445,0.0030918989328570126,1.1777194569426431e-117,5.267412029339669e-08,0.00037857589780305464,0.7729766670443001,2.279999999999994
1.5830143849210277e-09,7.271645000381866e-05,0.0004969705305198448,0.0033284955253598926,2.484410461201981e-116,6.502302796885134e-08,0.0004185086795968602,0.7751300448890793,2.289999999999994
2.066929260802115e-09,8.254117150675688e-05,0.0005473940776776978,0.0035786981666101523,4.997312489637114e-115,7.998245228774822e-08,0.000461865137274377,0.7772567409161527,2.2999999999999936
2.686236006977545e-09,9.348495313475801e-05,0.0006019460537738955,0.0038429804820015938,9.593822879005098e-114,9.804206146198213e-08,0.000508862962653478,0.7793571379623013,2.3099999999999934
3.4752367628764334e-09,0.00010564939104689413,0.0006608732188531568,0.0041218161324145155,1.759500570833624e-112,1.1977111326303884e-07,0.000559727691214761,0.7814316133027472,2.319999999999993
