energies,det-0,det-1,det-2,det-3,det-4,det-5,det-6,det-7,det-8,det-9,det-10,det-11,det-12,det-13,det-14,det-15,det-16,det-17,det-18,det-19,det-20,det-21,det-22,det-23,det-24,det-25,det-26,det-27,det-28,det-29,det-30,det-31,attenuator
2.0,1.9956847172078875e-39,1.9956847172078875e-39,1.9956847172078875e-39,1.9956847172078875e-39,1.9956847172078875e-39,1.9956847172078875e-39,1.9956847172078875e-39,1.9956847172078875e-39,1.9956847172078875e-39,1.9956847172078875e-39,2.425027839275468e-44,2.425027839275468e-44,2.425027839275468e-44,1.9956847172078875e-39,1.9956847172078875e-39,1.9956847172078875e-39,2.425027839275468e-44,2.425027839275468e-44,2.425027839275468e-44,1.9956847172078875e-39,1.9956847172078875e-39,1.9956847172078875e-39,1.9956847172078875e-39,1.9956847172078875e-39,1.9956847172078875e-39,1.9956847172078875e-39,1.9956847172078875e-39,1.9956847172078875e-39,1.9956847172078875e-39,1.9956847172078875e-39,1.9956847172078875e-39,1.9956847172078875e-39,3.6095053616290756e-165
2.01,7.450526608470596e-39,7.450526608470596e-39,7.450526608470596e-39,7.450526608470596e-39,7.450526608470596e-39,7.450526608470596e-39,7.450526608470596e-39,7.450526608470596e-39,7.450526608470596e-39,7.450526608470596e-39,1.0671653777242064e-43,1.0671653777242064e-43,1.0671653777242064e-43,7.450526608470596e-39,7.450526608470596e-39,7.450526608470596e-39,1.0671653777242064e-43,1.0671653777242064e-43,1.0671653777242064e-43,7.450526608470596e-39,7.450526608470596e-39,7.450526608470596e-39,7.450526608470596e-39,7.450526608470596e-39,7.450526608470596e-39,7.450526608470596e-39,7.450526608470596e-39,7.450526608470596e-39,7.450526608470596e-39,7.450526608470596e-39,7.450526608470596e-39,7.450526608470596e-39,4.7653707151974466e-163
2.0199999999999996,2.710386790780003e-38,2.710386790780003e-38,2.710386790780003e-38,2.710386790780003e-38,2.710386790780003e-38,2.710386790780003e-38,2.710386790780003e-38,2.710386790780003e-38,2.710386790780003e-38,2.710386790780003e-38,4.56153659517344e-43,4.56153659517344e-43,4.56153659517344e-43,2.710386790780003e-38,2.710386790780003e-38,2.710386790780003e-38,4.56153659517344e-43,4.56153659517344e-43,4.56153659517344e-43,2.710386790780003e-38,2.710386790780003e-38,2.710386790780003e-38,2.710386790780003e-38,2.710386790780003e-38,2.710386790780003e-38,2.710386790780003e-38,2.710386790780003e-38,2.710386790780003e-38,2.710386790780003e-38,2.710386790780003e-38,2.710386790780003e-38,2.710386790780003e-38,5.768671542078465e-161
2.0299999999999994,9.613917453411886e-38,9.613917453411886e-38,9.613917453411886e-38,9.613917453411886e-38,9.613917453411886e-38,9.613917453411886e-38,9.613917453411886e-38,9.613917453411886e-38,9.613917453411886e-38,9.613917453411886e-38,1.895239517613679e-42,1.895239517613679e-42,1.895239517613679e-42,9.613917453411886e-38,9.613917453411886e-38,9.613917453411886e-38,1.895239517613679e-42,1.895239517613679e-42,1.895239517613679e-42,9.613917453411886e-38,9.613917453411886e-38,9.613917453411886e-38,9.613917453411886e-38,9.613917453411886e-38,9.613917453411886e-38,9.613917453411886e-38,9.613917453411886e-38,9.613917453411886e-38,9.613917453411886e-38,9.613917453411886e-38,9.613917453411886e-38,9.613917453411886e-38,6.415577380553404e-159
2.039999999999999,3.327068997980011e-37,3.327068997980011e-37,3.327068997980011e-37,3.327068997980011e-37,3.327068997980011e-37,3.327068997980011e-37,3.327068997980011e-37,3.327068997980011e-37,3.327068997980011e-37,3.327068997980011e-37,7.659326394361374e-42,7.659326394361374e-42,7.659326394361374e-42,3.327068997980011e-37,3.327068997980011e-37,3.327068997980011e-37,7.659326394361374e-42,7.659326394361374e-42,7.659326394361374e-42,3.327068997980011e-37,3.327068997980011e-37,3.327068997980011e-37,3.327068997980011e-37,3.327068997980011e-37,3.327068997980011e-37,3.327068997980011e-37,3.327068997980011e-37,3.327068997980011e-37,3.327068997980011e-37,3.327068997980011e-37,3.327068997980011e-37,3.327068997980011e-37,6.567558107222764e-157
2.049999999999999,1.1240230699373398e-36,1.1240230699373398e-36,1.1240230699373398e-36,1.1240230699373398e-36,1.1240230699373398e-36,1.1240230699373398e-36,1.1240230699373398e-36,1.1240230699373398e-36,1.1240230699373398e-36,1.1240230699373398e-36,3.0128803609749535e-41,3.0128803609749535e-41,3.0128803609749535e-41,1.1240230699373398e-36,1.1240230699373398e-36,1.1240230699373398e-36,3.0128803609749535e-41,3.0128803609749535e-41,3.0128803609749535e-41,1.1240230699373398e-36,1.1240230699373398e-36,1.1240230699373398e-36,1.1240230699373398e-36,1.1240230699373398e-36,1.1240230699373398e-36,1.1240230699373398e-36,1.1240230699373398e-36,1.1240230699373398e-36,1.1240230699373398e-36,1.1240230699373398e-36,1.1240230699373398e-36,1.1240230699373398e-36,6.199907946482539e-155
2.0599999999999987,3.709307277810462e-36,3.709307277810462e-36,3.709307277810462e-36,3.709307277810462e-36,3.709307277810462e-36,3.709307277810462e-36,3.709307277810462e-36,3.709307277810462e-36,3.709307277810462e-36,3.709307277810462e-36,1.1543058618793332e-40,1.1543058618793332e-40,1.1543058618793332e-40,3.709307277810462e-36,3.709307277810462e-36,3.709307277810462e-36,1.1543058618793332e-40,1.1543058618793332e-40,1.1543058618793332e-40,3.709307277810462e-36,3.709307277810462e-36,3.709307277810462e-36,3.709307277810462e-36,3.709307277810462e-36,3.709307277810462e-36,3.709307277810462e-36,3.709307277810462e-36,3.709307277810462e-36,3.709307277810462e-36,3.709307277810462e-36,3.709307277810462e-36,3.709307277810462e-36,5.407079993267712e-153
2.0699999999999985,1.1963533352090827e-35,1.1963533352090827e-35,1.1963533352090827e-35,1.1963533352090827e-35,1.1963533352090827e-35,1.1963533352090827e-35,1.1963533352090827e-35,1.1963533352090827e-35,1.1963533352090827e-35,1.1963533352090827e-35,4.310050316170453e-40,4.310050316170453e-40,4.310050316170453e-40,1.1963533352090827e-35,1.1963533352090827e-35,1.1963533352090827e-35,4.310050316170453e-40,4.310050316170453e-40,4.310050316170453e-40,1.1963533352090827e-35,1.1963533352090827e-35,1.1963533352090827e-35,1.1963533352090827e-35,1.1963533352090827e-35,1.1963533352090827e-35,1.1963533352090827e-35,1.1963533352090827e-35,1.1963533352090827e-35,1.1963533352090827e-35,1.1963533352090827e-35,1.1963533352090827e-35,1.1963533352090827e-35,4.364138916113284e-151
2.0799999999999983,3.7732280269209546e-35,3.7732280269209546e-35,3.7732280269209546e-35,3.7732280269209546e-35,3.7732280269209546e-35,3.7732280269209546e-35,3.7732280269209546e-35,3.7732280269209546e-35,3.7732280269209546e-35,3.7732280269209546e-35,1.5693978252556023e-39,1.5693978252556023e-39,1.5693978252556023e-39,3.7732280269209546e-35,3.7732280269209546e-35,3.7732280269209546e-35,1.5693978252556023e-39,1.5693978252556023e-39,1.5693978252556023e-39,3.7732280269209546e-35,3.7732280269209546e-35,3.7732280269209546e-35,3.7732280269209546e-35,3.7732280269209546e-35,3.7732280269209546e-35,3.7732280269209546e-35,3.7732280269209546e-35,3.7732280269209546e-35,3.7732280269209546e-35,3.7732280269209546e-35,3.7732280269209546e-35,3.7732280269209546e-35,3.26538274584523e-149
2.089999999999998,1.1643529423668044e-34,1.1643529423668044e-34,1.1643529423668044e-34,1.1643529423668044e-34,1.1643529423668044e-34,1.1643529423668044e-34,1.1643529423668044e-34,1.1643529423668044e-34,1.1643529423668044e-34,1.1643529423668044e-34,5.576121756360944e-39,5.576121756360944e-39,5.576121756360944e-39,1.1643529423668044e-34,1.1643529423668044e-34,1.1643529423668044e-34,5.576121756360944e-39,5.576121756360944e-39,5.576121756360944e-39,1.1643529423668044e-34,1.1643529423668044e-34,1.1643529423668044e-34,1.1643529423668044e-34,1.1643529423668044e-34,1.1643529423668044e-34,1.1643529423668044e-34,1.1643529423668044e-34,1.1643529423668044e-34,1.1643529423668044e-34,1.1643529423668044e-34,1.1643529423668044e-34,1.1643529423668044e-34,2.2687733518250612e-147
