Based on ECC fit measurements to calibration runs 1961 and 1962 provided by O Limousin 14-Dec-2022. From ELUT7_ECC_para_1961_1962.fits (ECMD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel energy edges obtained from stx_science_energy_channels(basefile = ScienceEnergyChannels_1000.csv'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offset,Gain keV/ADC,Pixel,Detector,ADC Edge 0 - 4.00 keV,ADC Edge 1 - 5.00 keV,ADC Edge 2 - 6.00 keV,ADC Edge 3 - 7.00 keV,ADC Edge 4 - 8.00 keV,ADC Edge 5 - 9.00 keV,ADC Edge 6 - 10.00 keV,ADC Edge 7 - 11.00 keV,ADC Edge 8 - 12.00 keV,ADC Edge 9 - 13.00 keV,ADC Edge 10 - 14.00 keV,ADC Edge 11 - 15.00 keV,ADC Edge 12 - 16.00 keV,ADC Edge 13 - 18.00 keV,ADC Edge 14 - 20.00 keV,ADC Edge 15 - 22.00 keV,ADC Edge 16 - 25.00 keV,ADC Edge 17 - 28.00 keV,ADC Edge 18 - 32.00 keV,ADC Edge 19 - 36.00 keV,ADC Edge 20 - 40.00 keV,ADC Edge 21 - 45.00 keV,ADC Edge 22 - 50.00 keV,ADC Edge 23 - 56.00 keV,ADC Edge 24 - 63.00 keV,ADC Edge 25 - 70.00 keV,ADC Edge 26 - 76.00 keV,ADC Edge 27 - 84.00 keV,ADC Edge 28 - 100.00 keV,ADC Edge 29 - 120.00 keV,ADC Edge 30 - 150.00 keV
897.037048,0.10989907,0,0,933,943,952,961,970,979,988,997,1006,1015,1024,1034,1043,1061,1079,1097,1125,1152,1188,1225,1261,1307,1352,1407,1470,1534,1589,1661,1807,1989,2262
900.740723,0.11024008,1,0,937,946,955,964,973,982,991,1001,1010,1019,1028,1037,1046,1064,1082,1100,1128,1155,1191,1227,1264,1309,1354,1409,1472,1536,1590,1663,1808,1989,2261
897.777771,0.10997068,2,0,934,943,952,961,971,980,989,998,1007,1016,1025,1034,1043,1061,1080,1098,1125,1152,1189,1225,1262,1307,1352,1407,1471,1534,1589,1662,1807,1989,2262
900,0.11107454,3,0,936,945,954,963,972,981,990,999,1008,1017,1026,1035,1044,1062,1080,1098,1125,1152,1188,1224,1260,1305,1350,1404,1467,1530,1584,1656,1800,1980,2250
889.629639,0.11015013,4,0,926,935,944,953,962,971,980,989,999,1008,1017,1026,1035,1053,1071,1089,1117,1144,1180,1216,1253,1298,1344,1398,1462,1525,1580,1652,1797,1979,2251
902.222229,0.11140452,5,0,938,947,956,965,974,983,992,1001,1010,1019,1028,1037,1046,1064,1082,1100,1127,1154,1189,1225,1261,1306,1351,1405,1468,1531,1584,1656,1800,1979,2249
899.259277,0.10957793,6,0,936,945,954,963,972,981,991,1000,1009,1018,1027,1036,1045,1064,1082,1100,1127,1155,1191,1228,1264,1310,1356,1410,1474,1538,1593,1666,1812,1994,2268
889.629639,0.11006034,7,0,926,935,944,953,962,971,980,990,999,1008,1017,1026,1035,1053,1071,1090,1117,1144,1180,1217,1253,1298,1344,1398,1462,1526,1580,1653,1798,1980,2253
890.370361,0.10887096,8,0,927,936,945,955,964,973,982,991,1001,1010,1019,1028,1037,1056,1074,1092,1120,1148,1184,1221,1258,1304,1350,1405,1469,1533,1588,1662,1809,1993,2268
902.962952,0.10980966,9,0,939,948,958,967,976,985,994,1003,1012,1021,1030,1040,1049,1067,1085,1103,1131,1158,1194,1231,1267,1313,1358,1413,1477,1540,1595,1668,1814,1996,2269
902.222229,0.11015013,10,0,939,948,957,966,975,984,993,1002,1011,1020,1029,1038,1047,1066,1084,1102,1129,1156,1193,1229,1265,1311,1356,1411,1474,1538,1592,1665,1810,1992,2264
888.148193,0.11056511,11,0,924,933,942,951,961,970,979,988,997,1006,1015,1024,1033,1051,1069,1087,1114,1141,1178,1214,1250,1295,1340,1395,1458,1521,1576,1648,1793,1973,2245
879.259277,0.1086257,0,1,916,925,934,944,953,962,971,981,990,999,1008,1017,1027,1045,1063,1082,1109,1137,1174,1211,1247,1294,1340,1395,1459,1524,1579,1653,1800,1984,2260
894.074036,0.11031214,1,1,930,939,948,958,967,976,985,994,1003,1012,1021,1030,1039,1057,1075,1094,1121,1148,1184,1220,1257,1302,1347,1402,1465,1529,1583,1656,1801,1982,2254
891.851807,0.1097561,2,1,928,937,947,956,965,974,983,992,1001,1010,1019,1029,1038,1056,1074,1092,1120,1147,1183,1220,1256,1302,1347,1402,1466,1530,1584,1657,1803,1985,2259
888.888916,0.10867816,3,1,926,935,944,953,963,972,981,990,999,1009,1018,1027,1036,1055,1073,1091,1119,1147,1183,1220,1257,1303,1349,1404,1469,1533,1588,1662,1809,1993,2269
877.777771,0.1089061,4,1,915,924,933,942,951,960,970,979,988,997,1006,1016,1025,1043,1061,1080,1107,1135,1172,1208,1245,1291,1337,1392,1456,1521,1576,1649,1796,1980,2255
890.370361,0.10887096,5,1,927,936,945,955,964,973,982,991,1001,1010,1019,1028,1037,1056,1074,1092,1120,1148,1184,1221,1258,1304,1350,1405,1469,1533,1588,1662,1809,1993,2268
901.481506,0.10986328,6,1,938,947,956,965,974,983,993,1002,1011,1020,1029,1038,1047,1065,1084,1102,1129,1156,1193,1229,1266,1311,1357,1411,1475,1539,1593,1666,1812,1994,2267
888.148193,0.10899403,7,1,925,934,943,952,962,971,980,989,998,1007,1017,1026,1035,1053,1072,1090,1118,1145,1182,1218,1255,1301,1347,1402,1466,1530,1585,1659,1806,1989,2264
883.703735,0.10822511,8,1,921,930,939,948,958,967,976,985,995,1004,1013,1022,1032,1050,1069,1087,1115,1142,1179,1216,1253,1300,1346,1401,1466,1531,1586,1660,1808,1993,2270
882.962952,0.10980966,9,1,919,928,938,947,956,965,974,983,992,1001,1010,1020,1029,1047,1065,1083,1111,1138,1174,1211,1247,1293,1338,1393,1457,1520,1575,1648,1794,1976,2249
894.814819,0.10924097,10,1,931,941,950,959,968,977,986,996,1005,1014,1023,1032,1041,1060,1078,1096,1124,1151,1188,1224,1261,1307,1353,1407,1472,1536,1591,1664,1810,1993,2268
888.888916,0.10984541,11,1,925,934,944,953,962,971,980,989,998,1007,1016,1025,1035,1053,1071,1089,1116,1144,1180,1217,1253,1299,1344,1399,1462,1526,1581,1654,1799,1981,2254
897.037048,0.10850346,0,2,934,943,952,962,971,980,989,998,1008,1017,1026,1035,1044,1063,1081,1100,1127,1155,1192,1229,1266,1312,1358,1413,1478,1542,1597,1671,1819,2003,2279
892.59259,0.1085558,1,2,929,939,948,957,966,975,985,994,1003,1012,1022,1031,1040,1058,1077,1095,1123,1151,1187,1224,1261,1307,1353,1408,1473,1537,1593,1666,1814,1998,2274
896.296265,0.10904685,2,2,933,942,951,960,970,979,988,997,1006,1016,1025,1034,1043,1061,1080,1098,1126,1153,1190,1226,1263,1309,1355,1410,1474,1538,1593,1667,1813,1997,2272
897.037048,0.10813841,3,2,934,943,953,962,971,980,990,999,1008,1017,1027,1036,1045,1063,1082,1100,1128,1156,1193,1230,1267,1313,1359,1415,1480,1544,1600,1674,1822,2007,2284
897.777771,0.10772423,4,2,935,944,953,963,972,981,991,1000,1009,1018,1028,1037,1046,1065,1083,1102,1130,1158,1195,1232,1269,1316,1362,1418,1483,1548,1603,1678,1826,2012,2290
905.925964,0.10871316,5,2,943,952,961,970,980,989,998,1007,1016,1026,1035,1044,1053,1071,1090,1108,1136,1163,1200,1237,1274,1320,1366,1421,1485,1550,1605,1679,1826,2010,2286
891.851807,0.10768986,6,2,929,938,948,957,966,975,985,994,1003,1013,1022,1031,1040,1059,1078,1096,1124,1152,1189,1226,1263,1310,1356,1412,1477,1542,1598,1672,1820,2006,2285
901.481506,0.10831195,7,2,938,948,957,966,975,985,994,1003,1012,1022,1031,1040,1049,1068,1086,1105,1132,1160,1197,1234,1271,1317,1363,1419,1483,1548,1603,1677,1825,2009,2286
886.666687,0.10819042,8,2,924,933,942,951,961,970,979,988,998,1007,1016,1025,1035,1053,1072,1090,1118,1145,1182,1219,1256,1303,1349,1404,1469,1534,1589,1663,1811,1996,2273
880,0.10687143,9,2,917,927,936,945,955,964,974,983,992,1002,1011,1020,1030,1048,1067,1086,1114,1142,1179,1217,1254,1301,1348,1404,1469,1535,1591,1666,1816,2003,2284
897.777771,0.10772423,10,2,935,944,953,963,972,981,991,1000,1009,1018,1028,1037,1046,1065,1083,1102,1130,1158,1195,1232,1269,1316,1362,1418,1483,1548,1603,1678,1826,2012,2290
903.703735,0.10820777,11,2,941,950,959,968,978,987,996,1005,1015,1024,1033,1042,1052,1070,1089,1107,1135,1162,1199,1236,1273,1320,1366,1421,1486,1551,1606,1680,1828,2013,2290
874.814819,0.1084686,0,3,912,921,930,939,949,958,967,976,985,995,1004,1013,1022,1041,1059,1078,1105,1133,1170,1207,1244,1290,1336,1391,1456,1520,1575,1649,1797,1981,2258
875.555542,0.10817308,1,3,913,922,931,940,950,959,968,977,986,996,1005,1014,1023,1042,1060,1079,1107,1134,1171,1208,1245,1292,1338,1393,1458,1523,1578,1652,1800,1985,2262
888.148193,0.10838151,2,3,925,934,944,953,962,971,980,990,999,1008,1017,1027,1036,1054,1073,1091,1119,1146,1183,1220,1257,1303,1349,1405,1469,1534,1589,1663,1811,1995,2272
887.40741,0.10906447,3,3,924,933,942,952,961,970,979,988,997,1007,1016,1025,1034,1052,1071,1089,1117,1144,1181,1217,1254,1300,1346,1401,1465,1529,1584,1658,1804,1988,2263
880.740723,0.10767267,4,3,918,927,936,946,955,964,974,983,992,1001,1011,1020,1029,1048,1066,1085,1113,1141,1178,1215,1252,1299,1345,1401,1466,1531,1587,1661,1809,1995,2274
896.296265,0.10904685,5,3,933,942,951,960,970,979,988,997,1006,1016,1025,1034,1043,1061,1080,1098,1126,1153,1190,1226,1263,1309,1355,1410,1474,1538,1593,1667,1813,1997,2272
882.962952,0.10853835,6,3,920,929,938,947,957,966,975,984,994,1003,1012,1021,1030,1049,1067,1086,1113,1141,1178,1215,1251,1298,1344,1399,1463,1528,1583,1657,1804,1989,2265
882.962952,0.10852091,7,3,920,929,938,947,957,966,975,984,994,1003,1012,1021,1030,1049,1067,1086,1113,1141,1178,1215,1252,1298,1344,1399,1463,1528,1583,1657,1804,1989,2265
872.59259,0.10741566,8,3,910,919,928,938,947,956,966,975,984,994,1003,1012,1022,1040,1059,1077,1105,1133,1171,1208,1245,1292,1338,1394,1459,1524,1580,1655,1804,1990,2269
881.481506,0.10739858,9,3,919,928,937,947,956,965,975,984,993,1003,1012,1021,1030,1049,1068,1086,1114,1142,1179,1217,1254,1300,1347,1403,1468,1533,1589,1664,1813,1999,2278
889.629639,0.10801729,10,3,927,936,945,954,964,973,982,991,1001,1010,1019,1028,1038,1056,1075,1093,1121,1149,1186,1223,1260,1306,1353,1408,1473,1538,1593,1667,1815,2001,2278
873.333313,0.10888853,11,3,910,919,928,938,947,956,965,974,984,993,1002,1011,1020,1039,1057,1075,1103,1130,1167,1204,1241,1287,1333,1388,1452,1516,1571,1645,1792,1975,2251
910.370361,0.11056511,0,4,947,956,965,974,983,992,1001,1010,1019,1028,1037,1046,1055,1073,1091,1109,1136,1164,1200,1236,1272,1317,1363,1417,1480,1543,1598,1670,1815,1996,2267
910.370361,0.11007828,1,4,947,956,965,974,983,992,1001,1010,1019,1028,1038,1047,1056,1074,1092,1110,1137,1165,1201,1237,1274,1319,1365,1419,1483,1546,1601,1673,1819,2001,2273
917.037048,0.11092852,2,4,953,962,971,980,989,998,1007,1016,1025,1034,1043,1052,1061,1079,1097,1115,1142,1169,1206,1242,1278,1323,1368,1422,1485,1548,1602,1674,1819,1999,2269
903.703735,0.10952458,3,4,940,949,958,968,977,986,995,1004,1013,1022,1032,1041,1050,1068,1086,1105,1132,1159,1196,1232,1269,1315,1360,1415,1479,1543,1598,1671,1817,1999,2273
909.629639,0.10956013,4,4,946,955,964,974,983,992,1001,1010,1019,1028,1037,1047,1056,1074,1092,1110,1138,1165,1202,1238,1275,1320,1366,1421,1485,1549,1603,1676,1822,2005,2279
912.59259,0.10988116,5,4,949,958,967,976,985,994,1004,1013,1022,1031,1040,1049,1058,1076,1095,1113,1140,1167,1204,1240,1277,1322,1368,1422,1486,1550,1604,1677,1823,2005,2278
906.666687,0.11089207,6,4,943,952,961,970,979,988,997,1006,1015,1024,1033,1042,1051,1069,1087,1105,1132,1159,1195,1231,1267,1312,1358,1412,1475,1538,1592,1664,1808,1989,2259
914.074036,0.1097561,7,4,951,960,969,978,987,996,1005,1014,1023,1033,1042,1051,1060,1078,1096,1115,1142,1169,1206,1242,1279,1324,1370,1424,1488,1552,1607,1679,1825,2007,2281
906.666687,0.10970258,8,4,943,952,961,970,980,989,998,1007,1016,1025,1034,1043,1053,1071,1089,1107,1135,1162,1198,1235,1271,1317,1362,1417,1481,1545,1599,1672,1818,2001,2274
912.59259,0.11009623,9,4,949,958,967,976,985,994,1003,1013,1022,1031,1040,1049,1058,1076,1094,1112,1140,1167,1203,1240,1276,1321,1367,1421,1485,1548,1603,1676,1821,2003,2275
913.333313,0.10980966,10,4,950,959,968,977,986,995,1004,1014,1023,1032,1041,1050,1059,1077,1095,1114,1141,1168,1205,1241,1278,1323,1369,1423,1487,1551,1605,1678,1824,2006,2279
908.888916,0.10984541,11,4,945,954,964,973,982,991,1000,1009,1018,1027,1036,1045,1055,1073,1091,1109,1136,1164,1200,1237,1273,1319,1364,1419,1482,1546,1601,1674,1819,2001,2274
905.925964,0.10968476,0,5,942,952,961,970,979,988,997,1006,1015,1024,1034,1043,1052,1070,1088,1107,1134,1161,1198,1234,1271,1316,1362,1416,1480,1544,1599,1672,1818,2000,2273
902.222229,0.11140452,1,5,938,947,956,965,974,983,992,1001,1010,1019,1028,1037,1046,1064,1082,1100,1127,1154,1189,1225,1261,1306,1351,1405,1468,1531,1584,1656,1800,1979,2249
905.925964,0.11096498,2,5,942,951,960,969,978,987,996,1005,1014,1023,1032,1041,1050,1068,1086,1104,1131,1158,1194,1230,1266,1311,1357,1411,1474,1537,1591,1663,1807,1987,2258
902.222229,0.11036624,3,5,938,948,957,966,975,984,993,1002,1011,1020,1029,1038,1047,1065,1083,1102,1129,1156,1192,1228,1265,1310,1355,1410,1473,1536,1591,1663,1808,1990,2261
908.888916,0.11020407,4,5,945,954,963,972,981,991,1000,1009,1018,1027,1036,1045,1054,1072,1090,1109,1136,1163,1199,1236,1272,1317,1363,1417,1481,1544,1599,1671,1816,1998,2270
894.814819,0.11076469,5,5,931,940,949,958,967,976,985,994,1003,1012,1021,1030,1039,1057,1075,1093,1121,1148,1184,1220,1256,1301,1346,1400,1464,1527,1581,1653,1798,1978,2249
904.444458,0.11018609,6,5,941,950,959,968,977,986,995,1004,1013,1022,1032,1041,1050,1068,1086,1104,1131,1159,1195,1231,1267,1313,1358,1413,1476,1540,1594,1667,1812,1994,2266
908.148193,0.10956013,7,5,945,954,963,972,981,990,999,1009,1018,1027,1036,1045,1054,1072,1091,1109,1136,1164,1200,1237,1273,1319,1365,1419,1483,1547,1602,1675,1821,2003,2277
896.296265,0.10963132,8,5,933,942,951,960,969,978,988,997,1006,1015,1024,1033,1042,1060,1079,1097,1124,1152,1188,1225,1261,1307,1352,1407,1471,1535,1590,1663,1808,1991,2265
899.259277,0.11078287,9,5,935,944,953,962,971,980,990,999,1008,1017,1026,1035,1044,1062,1080,1098,1125,1152,1188,1224,1260,1305,1351,1405,1468,1531,1585,1657,1802,1982,2253
897.777771,0.10984541,10,5,934,943,952,962,971,980,989,998,1007,1016,1025,1034,1043,1062,1080,1098,1125,1153,1189,1226,1262,1307,1353,1408,1471,1535,1590,1662,1808,1990,2263
895.555542,0.11054701,11,5,932,941,950,959,968,977,986,995,1004,1013,1022,1031,1040,1058,1076,1095,1122,1149,1185,1221,1257,1303,1348,1402,1465,1529,1583,1655,1800,1981,2252
922.962952,0.10853835,0,6,960,969,978,987,997,1006,1015,1024,1034,1043,1052,1061,1070,1089,1107,1126,1153,1181,1218,1255,1291,1338,1384,1439,1503,1568,1623,1697,1844,2029,2305
911.851807,0.11015013,1,6,948,957,966,975,984,994,1003,1012,1021,1030,1039,1048,1057,1075,1093,1112,1139,1166,1202,1239,1275,1320,1366,1420,1484,1547,1602,1674,1820,2001,2274
917.037048,0.10897643,2,6,954,963,972,981,990,1000,1009,1018,1027,1036,1046,1055,1064,1082,1101,1119,1146,1174,1211,1247,1284,1330,1376,1431,1495,1559,1614,1688,1835,2018,2293
908.148193,0.10940032,3,6,945,954,963,972,981,990,1000,1009,1018,1027,1036,1045,1054,1073,1091,1109,1137,1164,1201,1237,1274,1319,1365,1420,1484,1548,1603,1676,1822,2005,2279
908.148193,0.10897643,4,6,945,954,963,972,982,991,1000,1009,1018,1027,1037,1046,1055,1073,1092,1110,1138,1165,1202,1238,1275,1321,1367,1422,1486,1550,1606,1679,1826,2009,2285
913.333313,0.11002445,5,6,950,959,968,977,986,995,1004,1013,1022,1031,1041,1050,1059,1077,1095,1113,1141,1168,1204,1241,1277,1322,1368,1422,1486,1550,1604,1677,1822,2004,2277
908.148193,0.11149653,6,6,944,953,962,971,980,989,998,1007,1016,1025,1034,1043,1052,1070,1088,1105,1132,1159,1195,1231,1267,1312,1357,1410,1473,1536,1590,1662,1805,1984,2253
915.555542,0.10874819,7,6,952,962,971,980,989,998,1008,1017,1026,1035,1044,1053,1063,1081,1099,1118,1145,1173,1210,1247,1283,1329,1375,1431,1495,1559,1614,1688,1835,2019,2295
914.814819,0.10871316,8,6,952,961,970,979,988,998,1007,1016,1025,1034,1044,1053,1062,1080,1099,1117,1145,1172,1209,1246,1283,1329,1375,1430,1494,1559,1614,1687,1835,2019,2295
915.555542,0.10968476,9,6,952,961,970,979,988,998,1007,1016,1025,1034,1043,1052,1061,1080,1098,1116,1143,1171,1207,1244,1280,1326,1371,1426,1490,1554,1608,1681,1827,2010,2283
914.074036,0.1097561,10,6,951,960,969,978,987,996,1005,1014,1023,1033,1042,1051,1060,1078,1096,1115,1142,1169,1206,1242,1279,1324,1370,1424,1488,1552,1607,1679,1825,2007,2281
908.148193,0.1086257,11,6,945,954,963,973,982,991,1000,1009,1019,1028,1037,1046,1055,1074,1092,1111,1138,1166,1203,1240,1276,1322,1368,1424,1488,1553,1608,1681,1829,2013,2289
902.222229,0.10883587,0,7,939,948,957,967,976,985,994,1003,1012,1022,1031,1040,1049,1068,1086,1104,1132,1159,1196,1233,1270,1316,1362,1417,1481,1545,1601,1674,1821,2005,2280
900,0.10857327,1,7,937,946,955,964,974,983,992,1001,1011,1020,1029,1038,1047,1066,1084,1103,1130,1158,1195,1232,1268,1314,1361,1416,1480,1545,1600,1674,1821,2005,2282
912.59259,0.1085558,2,7,949,959,968,977,986,995,1005,1014,1023,1032,1042,1051,1060,1078,1097,1115,1143,1171,1207,1244,1281,1327,1373,1428,1493,1557,1613,1686,1834,2018,2294
905.185181,0.10819042,3,7,942,951,961,970,979,988,998,1007,1016,1025,1035,1044,1053,1072,1090,1109,1136,1164,1201,1238,1275,1321,1367,1423,1487,1552,1608,1682,1829,2014,2292
886.666687,0.107245,4,7,924,933,943,952,961,971,980,989,999,1008,1017,1027,1036,1055,1073,1092,1120,1148,1185,1222,1260,1306,1353,1409,1474,1539,1595,1670,1819,2006,2285
891.111084,0.10741566,5,7,928,938,947,956,966,975,984,994,1003,1012,1021,1031,1040,1059,1077,1096,1124,1152,1189,1226,1263,1310,1357,1412,1478,1543,1599,1673,1822,2008,2288
895.555542,0.10803457,6,7,933,942,951,960,970,979,988,997,1007,1016,1025,1034,1044,1062,1081,1099,1127,1155,1192,1229,1266,1312,1358,1414,1479,1543,1599,1673,1821,2006,2284
