SW4(2014.09.25_16.46.08),-40,5,8,400,12,2,Co57,0,48,32,26,27,46,35,0
SW2(2014.10.08_14.33.14),-40,5,8,400,12,2,Co57,51,36,47,40,44,41,50,0
SW4(2015.01.21_14.17.52),-40,5,8,400,12,2,Co57,0,56,59,57,60,0,0,0
SW2(2014.09.25_10.06.04),-40,15,1,300,13,4,Am241,0,39,49,33,54,23,55,0
SW4(2014.09.25_14.03.41),-40,15,1,300,13,4,Am241,0,48,32,26,27,46,35,0
SW2(2014.10.08_09.03.23),-40,15,1,300,13,4,Am241,51,36,47,40,44,41,50,0
SW4(2015.01.21_09.38.33),-40,15,1,300,13,4,Am241,0,56,59,57,60,0,0,0
SW2(2014.09.25_10.43.34),-40,15,2,300,13,4,Am241,0,39,49,33,54,23,55,0
SW4(2014.09.25_14.42.45),-40,15,2,300,13,4,Am241,0,48,32,26,27,46,35,0
SW2(2014.10.08_09.29.01),-40,15,2,300,13,4,Am241,51,36,47,40,44,41,50,0
SW4(2015.01.21_10.04.11),-40,15,2,300,13,4,Am241,0,56,59,57,60,0,0,0
SW2(2014.09.25_11.14.35),-40,15,8,300,13,4,Am241,0,39,49,33,54,23,55,0
SW4(2014.09.25_15.08.58),-40,15,8,300,13,4,Am241,0,48,32,26,27,46,35,0
SW2(2014.10.08_09.54.21),-40,15,8,300,13,4,Am241,51,36,47,40,44,41,50,0
SW4(2015.01.21_10.29.30),-40,15,8,300,13,4,Am241,0,56,59,57,60,0,0,0
SW4(2015.06.30_14.36.32),-30,2,1,200,12,2,Co57,76,77,79,80,82,98,83,0
SW4(2015.06.30_14.49.52),-30,2,1,300,12,2,Co57,76,77,79,80,82,98,83,0
SW4(2015.06.30_15.03.52),-30,2,1,400,12,2,Co57,76,77,79,80,82,98,83,0
SW4(2015.06.30_14.40.55),-30,2,2,200,12,2,Co57,76,77,79,80,82,98,83,0
SW4(2015.06.30_14.53.17),-30,2,2,300,12,2,Co57,76,77,79,80,82,98,83,0
SW4(2015.06.30_15.08.14),-30,2,2,400,12,2,Co57,76,77,79,80,82,98,83,0
SW4(2015.06.30_14.45.18),-30,2,8,200,12,2,Co57,76,77,79,80,82,98,83,0
SW4(2015.06.30_14.55.44),-30,2,8,300,12,2,Co57,76,77,79,80,82,98,83,0
SW4(2015.06.30_15.12.36),-30,2,8,400,12,2,Co57,76,77,79,80,82,98,83,0
SW2(2014.09.26_11.11.28),-30,5,1,200,12,2,Co57,0,39,49,33,54,23,55,0
SW4(2014.09.26_15.09.16),-30,5,1,200,12,2,Co57,0,48,32,26,27,46,35,0
SW2(2014.10.09_11.34.36),-30,5,1,200,12,2,Co57,51,36,47,40,44,41,50,0
SW4(2015.01.22_16.04.19),-30,5,1,200,12,2,Co57,0,56,59,57,60,0,0,0
SW2(2014.09.26_13.34.11),-30,5,1,300,12,2,Co57,0,39,49,33,54,23,55,0
SW4(2014.09.26_15.38.36),-30,5,1,300,12,2,Co57,0,48,32,26,27,46,35,0
SW2(2014.10.09_11.56.39),-30,5,1,300,12,2,Co57,51,36,47,40,44,41,50,0
SW4(2015.01.22_16.47.31),-30,5,1,300,12,2,Co57,0,56,59,57,60,0,0,0
SW2(2014.09.26_15.31.55),-30,5,1,300,13,2,Am241,0,39,49,33,54,23,55,0
SW4(2014.09.26_17.03.16),-30,5,1,300,13,2,Am241,0,48,32,26,27,46,35,0
SW2(2014.10.09_13.58.36),-30,5,1,300,13,2,Am241,51,36,47,40,44,41,50,0
SW4(2015.01.22_10.21.30),-30,5,1,300,13,2,Am241,0,56,59,57,60,0,0,0
SW2(2014.09.26_14.23.36),-30,5,1,400,12,2,Co57,0,39,49,33,54,23,55,0
SW4(2014.09.26_16.03.14),-30,5,1,400,12,2,Co57,0,48,32,26,27,46,35,0
SW2(2014.10.09_11.11.57),-30,5,1,400,12,2,Co57,51,36,47,40,44,41,50,0
SW4(2015.01.22_15.25.31),-30,5,1,400,12,2,Co57,0,56,59,57,60,0,0,0
SW2(2014.09.26_11.18.50),-30,5,2,200,12,2,Co57,0,39,49,33,54,23,55,0
SW4(2014.09.26_15.18.44),-30,5,2,200,12,2,Co57,0,48,32,26,27,46,35,0
SW2(2014.10.09_11.40.04),-30,5,2,200,12,2,Co57,51,36,47,40,44,41,50,0
SW4(2015.01.22_16.18.43),-30,5,2,200,12,2,Co57,0,56,59,57,60,0,0,0
SW2(2014.09.26_13.42.38),-30,5,2,300,12,2,Co57,0,39,49,33,54,23,55,0
SW4(2014.09.26_15.44.29),-30,5,2,300,12,2,Co57,0,48,32,26,27,46,35,0
SW2(2014.10.09_12.02.07),-30,5,2,300,12,2,Co57,51,36,47,40,44,41,50,0
SW4(2015.01.22_17.12.06),-30,5,2,300,12,2,Co57,0,56,59,57,60,0,0,0
SW2(2014.09.26_15.55.41),-30,5,2,300,13,2,Am241,0,39,49,33,54,23,55,0
SW4(2014.09.26_17.24.57),-30,5,2,300,13,2,Am241,0,48,32,26,27,46,35,0
SW2(2014.10.09_14.04.03),-30,5,2,300,13,2,Am241,51,36,47,40,44,41,50,0
SW4(2015.01.22_10.35.54),-30,5,2,300,13,2,Am241,0,56,59,57,60,0,0,0
SW2(2014.09.26_14.37.27),-30,5,2,400,12,2,Co57,0,39,49,33,54,23,55,0
SW4(2014.09.26_16.26.04),-30,5,2,400,12,2,Co57,0,48,32,26,27,46,35,0
SW2(2014.10.09_11.17.24),-30,5,2,400,12,2,Co57,51,36,47,40,44,41,50,0
SW4(2015.01.22_15.39.55),-30,5,2,400,12,2,Co57,0,56,59,57,60,0,0,0
SW2(2014.09.26_11.25.37),-30,5,8,200,12,2,Co57,0,39,49,33,54,23,55,0
SW4(2014.09.26_15.25.31),-30,5,8,200,12,2,Co57,0,48,32,26,27,46,35,0
SW2(2014.10.09_11.45.32),-30,5,8,200,12,2,Co57,51,36,47,40,44,41,50,0
SW4(2015.01.22_16.33.07),-30,5,8,200,12,2,Co57,0,56,59,57,60,0,0,0
SW2(2014.09.26_13.50.30),-30,5,8,300,12,2,Co57,0,39,49,33,54,23,55,0
SW4(2014.09.26_15.50.15),-30,5,8,300,12,2,Co57,0,48,32,26,27,46,35,0
SW2(2014.10.09_12.07.35),-30,5,8,300,12,2,Co57,51,36,47,40,44,41,50,0
SW4(2015.01.22_17.26.30),-30,5,8,300,12,2,Co57,0,56,59,57,60,0,0,0
SW2(2014.09.26_14.47.24),-30,5,8,400,12,2,Co57,0,39,49,33,54,23,55,0
SW4(2014.09.26_16.20.02),-30,5,8,400,12,2,Co57,0,48,32,26,27,46,35,0
SW2(2014.10.09_11.22.52),-30,5,8,400,12,2,Co57,51,36,47,40,44,41,50,0
SW4(2015.01.22_15.54.19),-30,5,8,400,12,2,Co57,0,56,59,57,60,0,0,0
SW4(2015.06.30_13.03.53),-30,10,1,300,13,2,Am241,76,77,79,80,82,98,83,0
SW4(2015.06.30_13.18.35),-30,10,2,300,13,2,Am241,76,77,79,80,82,98,83,0
SW2(2014.09.26_09.56.00),-30,15,1,300,13,4,Am241,0,39,49,33,54,23,55,0
SW4(2014.09.26_11.37.23),-30,15,1,300,13,4,Am241,0,48,32,26,27,46,35,0
SW2(2014.10.09_08.37.04),-30,15,1,300,13,4,Am241,51,36,47,40,44,41,50,0
SW4(2015.01.22_09.04.55),-30,15,1,300,13,4,Am241,0,56,59,57,60,0,0,0
SW2(2014.09.26_10.20.26),-30,15,2,300,13,4,Am241,0,39,49,33,54,23,55,0
SW4(2014.09.26_12.01.56),-30,15,2,300,13,4,Am241,0,48,32,26,27,46,35,0
SW2(2014.10.09_09.02.42),-30,15,2,300,13,4,Am241,51,36,47,40,44,41,50,0
SW4(2015.01.22_09.30.33),-30,15,2,300,13,4,Am241,0,56,59,57,60,0,0,0
SW2(2014.09.26_10.41.52),-30,15,8,300,13,4,Am241,0,39,49,33,54,23,55,0
SW4(2014.09.26_13.57.36),-30,15,8,300,13,4,Am241,0,48,32,26,27,46,35,0
SW2(2014.10.09_09.28.02),-30,15,8,300,13,4,Am241,51,36,47,40,44,41,50,0
SW4(2015.01.22_09.56.11),-30,15,8,300,13,4,Am241,0,56,59,57,60,0,0,0
SW4(2015.06.30_11.50.43),-30,20,1,300,13,4,Am241,76,77,79,80,82,98,83,0
SW4(2015.06.30_12.16.21),-30,20,2,300,13,4,Am241,76,77,79,80,82,98,83,0
SW4(2015.06.30_12.40.26),-30,20,8,300,13,4,Am241,76,77,79,80,82,98,83,0
SW4(2015.07.01_13.57.12),-20,0,1,200,12,2,Co57,76,77,79,80,82,98,83,0
