Based on ECC fit measurements to calibration runs 1657 and 1658 provided by O Limousin 16-May-2022. Applied on 01-Jun-2022. (ECMD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel energy edges obtained from stx_science_energy_channels(/edges_1). ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offset,Gain keV/ADC,Pixel,Detector,ADC Edge 0 - 4 keV,ADC Edge 1 - 5 keV,ADC Edge 2 - 6 keV,ADC Edge 3 - 7 keV,ADC Edge 4 - 8 keV,ADC Edge 5 - 9 keV,ADC Edge 6 - 10 keV,ADC Edge 7 - 11 keV,ADC Edge 8 - 12 keV,ADC Edge 9 - 13 keV,ADC Edge 10 - 14 keV,ADC Edge 11 - 15 keV,ADC Edge 12 - 16 keV,ADC Edge 13 - 18 keV,ADC Edge 14 - 20 keV,ADC Edge 15 - 22 keV,ADC Edge 16 - 25 keV,ADC Edge 17 - 28 keV,ADC Edge 18 - 32 keV,ADC Edge 19 - 36 keV,ADC Edge 20 - 40 keV,ADC Edge 21 - 45 keV,ADC Edge 22 - 50 keV,ADC Edge 23 - 56 keV,ADC Edge 24 - 63 keV,ADC Edge 25 - 70 keV,ADC Edge 26 - 76 keV,ADC Edge 27 - 84 keV,ADC Edge 28 - 100 keV,ADC Edge 29 - 120 keV,ADC Edge 30 - 150 keV
892.5926,0.108208,1,2,930,939,948,957,967,976,985,994,1003,1013,1022,1031,1040,1059,1077,1096,1124,1151,1188,1225,1262,1308,1355,1410,1475,1539,1595,1669,1817,2002,2279
896.2963,0.108678,2,2,933,942,952,961,970,979,988,998,1007,1016,1025,1034,1044,1062,1080,1099,1126,1154,1191,1228,1264,1310,1356,1412,1476,1540,1596,1669,1816,2000,2277
897.037,0.107793,3,2,934,943,953,962,971,981,990,999,1008,1018,1027,1036,1045,1064,1083,1101,1129,1157,1194,1231,1268,1315,1361,1417,1481,1546,1602,1676,1825,2010,2289
897.7778,0.107501,4,2,935,944,954,963,972,981,991,1000,1009,1019,1028,1037,1047,1065,1084,1102,1130,1158,1195,1233,1270,1316,1363,1419,1484,1549,1605,1679,1828,2014,2293
905.1852,0.108208,5,2,942,951,961,970,979,988,998,1007,1016,1025,1035,1044,1053,1072,1090,1108,1136,1164,1201,1238,1275,1321,1367,1423,1487,1552,1608,1681,1829,2014,2291
892.5926,0.107621,6,2,930,939,948,958,967,976,986,995,1004,1013,1023,1032,1041,1060,1078,1097,1125,1153,1190,1227,1264,1311,1357,1413,1478,1543,1599,1673,1822,2008,2286
902.2222,0.108156,7,2,939,948,958,967,976,985,995,1004,1013,1022,1032,1041,1050,1069,1087,1106,1133,1161,1198,1235,1272,1318,1365,1420,1485,1549,1605,1679,1827,2012,2289
886.6667,0.107845,8,2,924,933,942,952,961,970,979,989,998,1007,1016,1026,1035,1054,1072,1091,1118,1146,1183,1220,1258,1304,1350,1406,1471,1536,1591,1666,1814,1999,2278
879.2593,0.106316,9,2,917,926,936,945,955,964,973,983,992,1002,1011,1020,1030,1049,1067,1086,1114,1143,1180,1218,1255,1303,1350,1406,1472,1538,1594,1669,1820,2008,2290
898.5185,0.107587,10,2,936,945,954,964,973,982,991,1001,1010,1019,1029,1038,1047,1066,1084,1103,1131,1159,1196,1233,1270,1317,1363,1419,1484,1549,1605,1679,1828,2014,2293
903.7037,0.107879,11,2,941,950,959,969,978,987,996,1006,1015,1024,1033,1043,1052,1071,1089,1108,1135,1163,1200,1237,1274,1321,1367,1423,1488,1553,1608,1682,1831,2016,2294
875.5555,0.108399,0,3,912,922,931,940,949,959,968,977,986,995,1005,1014,1023,1042,1060,1079,1106,1134,1171,1208,1245,1291,1337,1392,1457,1521,1577,1650,1798,1983,2259
875.5555,0.107827,1,3,913,922,931,940,950,959,968,978,987,996,1005,1015,1024,1042,1061,1080,1107,1135,1172,1209,1247,1293,1339,1395,1460,1525,1580,1655,1803,1988,2267
888.1482,0.108052,2,3,925,934,944,953,962,971,981,990,999,1008,1018,1027,1036,1055,1073,1092,1120,1147,1184,1221,1258,1305,1351,1406,1471,1536,1592,1666,1814,1999,2276
886.6667,0.108416,3,3,924,933,942,951,960,970,979,988,997,1007,1016,1025,1034,1053,1071,1090,1117,1145,1182,1219,1256,1302,1348,1403,1468,1532,1588,1661,1809,1994,2270
880.7407,0.107313,4,3,918,927,937,946,955,965,974,983,993,1002,1011,1021,1030,1048,1067,1086,1114,1142,1179,1216,1253,1300,1347,1403,1468,1533,1589,1663,1813,1999,2279
896.2963,0.108678,5,3,933,942,952,961,970,979,988,998,1007,1016,1025,1034,1044,1062,1080,1099,1126,1154,1191,1228,1264,1310,1356,1412,1476,1540,1596,1669,1816,2000,2277
882.963,0.108173,6,3,920,929,938,948,957,966,975,985,994,1003,1012,1022,1031,1049,1068,1086,1114,1142,1179,1216,1253,1299,1345,1401,1465,1530,1586,1659,1807,1992,2270
884.4445,0.108573,7,3,921,930,940,949,958,967,977,986,995,1004,1013,1023,1032,1050,1069,1087,1115,1142,1179,1216,1253,1299,1345,1400,1465,1529,1584,1658,1805,1990,2266
872.5926,0.107058,8,3,910,919,929,938,947,957,966,975,985,994,1003,1013,1022,1041,1059,1078,1106,1134,1171,1209,1246,1293,1340,1396,1461,1526,1582,1657,1807,1993,2274
880.7407,0.106787,9,3,918,928,937,946,956,965,974,984,993,1002,1012,1021,1031,1049,1068,1087,1115,1143,1180,1218,1255,1302,1349,1405,1471,1536,1592,1667,1817,2004,2285
890.3704,0.107724,10,3,928,937,946,955,965,974,983,992,1002,1011,1020,1030,1039,1057,1076,1095,1122,1150,1187,1225,1262,1308,1355,1410,1475,1540,1596,1670,1819,2004,2283
874.074,0.108783,11,3,911,920,929,938,948,957,966,975,984,994,1003,1012,1021,1040,1058,1076,1104,1131,1168,1205,1242,1288,1334,1389,1453,1518,1573,1646,1793,1977,2253
909.6296,0.110132,0,4,946,955,964,973,982,991,1000,1010,1019,1028,1037,1046,1055,1073,1091,1109,1137,1164,1200,1237,1273,1318,1364,1418,1482,1545,1600,1672,1818,1999,2272
911.8518,0.11015,1,4,948,957,966,975,984,994,1003,1012,1021,1030,1039,1048,1057,1075,1093,1112,1139,1166,1202,1239,1275,1320,1366,1420,1484,1547,1602,1674,1820,2001,2274
917.037,0.110565,2,4,953,962,971,980,989,998,1007,1017,1026,1035,1044,1053,1062,1080,1098,1116,1143,1170,1206,1243,1279,1324,1369,1424,1487,1550,1604,1677,1821,2002,2274
902.963,0.1091,3,4,940,949,958,967,976,985,995,1004,1013,1022,1031,1040,1050,1068,1086,1105,1132,1160,1196,1233,1270,1315,1361,1416,1480,1545,1600,1673,1820,2003,2278
909.6296,0.109206,4,4,946,955,965,974,983,992,1001,1010,1020,1029,1038,1047,1056,1074,1093,1111,1139,1166,1203,1239,1276,1322,1367,1422,1487,1551,1606,1679,1825,2008,2283
911.8518,0.109436,5,4,948,958,967,976,985,994,1003,1012,1022,1031,1040,1049,1058,1076,1095,1113,1140,1168,1204,1241,1277,1323,1369,1424,1488,1551,1606,1679,1826,2008,2283
906.6667,0.110547,6,4,943,952,961,970,979,988,997,1006,1015,1024,1033,1042,1051,1069,1088,1106,1133,1160,1196,1232,1269,1314,1359,1413,1477,1540,1594,1667,1811,1992,2264
914.074,0.109383,7,4,951,960,969,978,987,996,1005,1015,1024,1033,1042,1051,1060,1079,1097,1115,1143,1170,1207,1243,1280,1325,1371,1426,1490,1554,1609,1682,1828,2011,2285
906.6667,0.109347,8,4,943,952,962,971,980,989,998,1007,1016,1026,1035,1044,1053,1071,1090,1108,1135,1163,1199,1236,1272,1318,1364,1419,1483,1547,1602,1675,1821,2004,2278
912.5926,0.109738,9,4,949,958,967,976,985,995,1004,1013,1022,1031,1040,1049,1058,1077,1095,1113,1140,1168,1204,1241,1277,1323,1368,1423,1487,1550,1605,1678,1824,2006,2279
