index, start_date, end_date, sci_chan_file
0, 2019-06-15T00:00:00, 2023-01-30T00:04:35, ScienceEnergyChannels_1000.csv
1, 2023-01-30T00:04:35, 2023-01-31T00:12:00, ScienceEnergyChannels_20221216.csv
2, 2023-01-31T00:12:00, 2023-02-02T16:06:12, ScienceEnergyChannels_20230201.csv
3, 2023-02-02T16:06:12, 2023-07-31T00:05:58, ScienceEnergyChannels_1000.csv
4, 2023-07-31T00:05:58, 2023-11-05T00:01:00, ScienceEnergyChannels_20230519.csv
5, 2023-11-05T00:01:00, none, ScienceEnergyChannels_1000.csv
