1	0.077389	170.036	0.0187	0.0507	0.0007	0.0013	0.3628	0.0398	1.130199						
2	0.159965	129.587	0.1498	0.0806	0.0004	0.0010	0.3901	0.0543	1.970729						
3	0.999236	148.374	0.0862	0.4920	0.0026	0.0013	0.4210	0.0000	0.000000						
4	0.469697	71.434	0.4549	0.2431	0.0029	0.0013	0.3922	0.0416	3.150274						
5	0.111829	30.179	0.0508	0.0623	0.0005	0.0010	0.4082	0.0378	1.690653						
6	0.159539	70.480	0.0085	0.0849	0.0006	0.0010	0.4226	0.0582	1.580039						
7	0.077834	109.752	0.0396	0.0534	0.0012	0.0011	0.3896	0.0399	1.050446						
8	0.330749	149.460	0.3021	0.1712	0.0010	0.0011	0.3805	0.0434	2.660393						
11	0.114224	149.930	0.0668	0.0971	0.0004	0.0011	0.0000	0.0495	1.100279						
11	0.114218	149.938	0.0972	0.0951	0.0004	0.0011	0.0000	0.0000	0.0000						
11	0.114223	149.931	0.0309	0.0922	0.0008	0.0010	0.0000	0.0000	0.0000					
12	0.108394	130.131	0.0542	0.0813	0.0003	0.0010	0.0000	0.0462	1.180239						
12	0.108406	130.131	0.1026	0.0810	0.0005	0.0010	0.0000	0.0000	0.0000						
13	0.114008	89.864	0.1065	0.0891	0.0005	0.0009	0.0000	0.0656	1.099935					
13	0.113995	89.865	0.0362	0.0915	0.0007	0.0008	0.0000	0.0000	0.0000						
13	0.114015	89.862	0.0658	0.0833	0.0009	0.0009	0.0000	0.0000	0.0000						
14	0.657106	112.012	0.2661	0.3455	0.0031	0.0014	0.3977	0.0000	0.000000						
15	0.225657	49.429	0.0305	0.1155	0.0020	0.0014	0.3787	0.0527	1.970511						
16	0.691756	169.608	0.3613	0.3451	0.0021	0.0012	0.4053	0.0000	0.000000						
17	0.108940	10.031	0.1056	0.0861	0.0004	0.0010	0.0000	0.0594	1.129875						
17	0.108958	10.034	0.0523	0.0845	0.0005	0.0009	0.0000	0.0000	0.0000						
18	0.114231	30.058	0.0923	0.0954	0.0007	0.0013	0.0000	0.0506	1.100059						
18	0.114220	30.063	0.0608	0.0941	0.0006	0.0011	0.0000	0.0000	0.0000						
18	0.114238	30.060	0.0166	0.0919	0.0014	0.0011	0.0000	0.0000	0.0000						
19	0.108492	69.838	0.0853	0.0783	0.0008	0.0009	0.0000	0.0591	1.050168						
19	0.108493	69.834	0.0257	0.0814	0.0009	0.0009	0.0000	0.0000	0.0000						
20	0.951349	93.099	0.2158	0.4920	0.0039	0.0019	0.4052	0.0000	0.000000						
21	0.478027	10.272	0.4252	0.2415	0.0012	0.0013	0.3866	0.0436	3.021032						
22	0.999224	31.620	0.2160	0.4878	0.0026	0.0014	0.4144	0.0000	0.000000						
23	0.111829	149.804	0.0376	0.0624	0.0009	0.0011	0.3947	0.0391	1.690020						
24	0.330736	30.534	0.2550	0.1632	0.0005	0.0011	0.4123	0.0467	2.660331						
25	0.111217	90.354	0.1010	0.0626	0.0008	0.0009	0.3697	0.0420	1.099660						
26	0.473515	128.818	0.3532	0.2410	0.0057	0.0015	0.3879	0.0399	2.949872						
27	0.224671	170.125	0.2237	0.1155	0.0024	0.0012	0.3676	0.0567	2.279257						
28	0.325410	88.937	0.0566	0.1710	0.0014	0.0018	0.3852	0.0521	2.200617						
29	0.077496	49.798	0.0494	0.0513	0.0005	0.0009	0.3546	0.0357	1.180175						
30	0.157634	9.911	0.0931	0.0852	0.0008	0.0012	0.3989	0.0615	1.810039						
31	0.226511	110.694	0.1816	0.1150	0.0010	0.0015	0.3650	0.0541	2.070283						
32	0.649953	48.377	0.3321	0.3421	0.0034	0.0012	0.3884	0.0000	0.000000						
