; Table containing the spacecraft roll angle values from 1-6-2020 to 21-02-2022 (3 measurements per day)
UTC,Roll angle (degrees)
2020-07-09T07:01:38.942,-5.816914707380482
2020-07-09T15:01:08.498,-5.8589061377691865
2020-07-09T23:00:38.54,-5.899972045607615
2020-07-10T07:00:07.610,-5.939652356839006
2020-07-10T14:59:37.167,-5.978336699262726
2020-07-10T22:59:06.723,-6.015465682303654
2020-07-11T06:58:36.279,-6.051924288960843
2020-07-11T14:58:05.835,-6.08695812775829
2020-07-11T22:57:35.391,-6.120005257808062
2020-07-12T06:57:04.947,-6.1529928226371124
2020-07-12T14:56:34.503,-6.184622783195175
2020-07-12T22:56:04.59,-6.214897903134165
2020-07-13T06:55:33.615,-6.244116246744418
2020-07-13T14:55:03.171,-6.271308464647804
2020-07-13T22:54:32.727,-6.299312919491506
2020-07-14T06:54:02.283,-6.325095870775818
2020-07-14T14:53:31.839,-6.35028717089489
2020-07-14T22:53:01.395,-6.374290999454709
2020-07-15T06:52:30.951,-6.39709030386787
2020-07-15T14:52:00.507,-6.418509473072891
2020-07-15T22:51:30.63,-6.4394224725338605
2020-07-16T06:50:59.619,-6.459152266945025
2020-07-16T14:50:29.175,-6.478294489267304
2020-07-16T22:49:58.731,-6.496286486969506
2020-07-17T06:49:28.287,-6.513178848539964
2020-07-17T14:48:57.843,-6.529227002282395
2020-07-17T22:48:27.399,-6.544517410966001
2020-07-18T06:47:56.955,-6.558768635449208
2020-07-18T14:47:26.511,-6.572909538650567
2020-07-18T22:46:56.67,-6.585011361912141
2020-07-19T06:46:25.623,124.83813904261103
2020-07-19T14:45:55.179,127.87304828392769
2020-07-19T22:45:24.735,-6.617905555017841
2020-07-20T06:44:54.291,-6.627012475035887
2020-07-20T14:44:23.847,-6.6360874325249695
2020-07-20T22:43:53.403,-6.643675601656018
2020-07-21T06:43:22.959,-6.65096427914422
2020-07-21T14:42:52.515,-6.656929189334341
2020-07-21T22:42:22.71,-6.6626584451616155
2020-07-22T06:41:51.627,-6.667300204450278
2020-07-22T14:41:21.183,-6.671580497158254
2020-07-22T22:40:50.739,-6.675164558790299
2020-07-23T06:40:20.295,-6.677845244128374
2020-07-23T14:39:49.852,-6.6791115402938495
2020-07-23T22:39:19.408,-6.681670505435035
2020-07-24T06:38:48.964,-6.6826262005678
2020-07-24T14:38:18.520,-6.682692943495067
2020-07-24T22:37:48.76,-6.682431513326884
2020-07-25T06:37:17.632,-6.681281206036507
2020-07-25T14:36:47.188,-6.679959306085589
2020-07-25T22:36:16.744,-6.677268452954224
2020-07-26T06:35:46.300,-6.674424327542397
2020-07-26T14:35:15.856,-6.6711339808898185
2020-07-26T22:34:45.412,-6.667426085872545
2020-07-27T06:34:14.968,-6.66278591176149
2020-07-27T14:33:44.524,-6.657847034095404
2020-07-27T22:33:14.80,-6.652409134436014
2020-07-28T06:32:43.636,-6.646446326392718
2020-07-28T14:32:13.192,-6.639972302300125
2020-07-28T22:31:42.748,-6.6329040163605235
2020-07-29T06:31:12.304,-6.625498818636994
2020-07-29T14:30:41.860,-6.617436245842744
2020-07-29T22:30:11.416,-6.609303872799096
2020-07-30T06:29:40.972,-6.6000375379032885
2020-07-30T14:29:10.528,-6.59087763845735
2020-07-30T22:28:40.84,-6.581271537336491
2020-07-31T06:28:09.640,-6.571282936968055
2020-07-31T14:27:39.196,-6.560737433405987
2020-07-31T22:27:08.752,-6.54976952030381
2020-08-01T06:26:38.308,-6.538359416440748
2020-08-01T14:26:07.864,-6.526508369488157
2020-08-01T22:25:37.420,-6.514152836044431
2020-08-02T06:25:06.976,-6.501476337274274
2020-08-02T14:24:36.532,-6.488790500263732
2020-08-02T22:24:06.88,-6.47519236311487
2020-08-03T06:23:35.644,-6.461517679574288
2020-08-03T14:23:05.200,-6.447692642470181
2020-08-03T22:22:34.756,-6.43353391810723
2020-08-04T06:22:04.312,-6.418570197579574
2020-08-04T14:21:33.868,-6.403527003976795
2020-08-04T22:21:03.424,-6.388235389748545
2020-08-05T06:20:32.980,-6.372665872059138
2020-08-05T14:20:02.536,-6.3564109468016685
2020-08-05T22:19:32.93,-6.340447141099934
2020-08-06T06:19:01.649,-6.323580096251312
2020-08-06T14:18:31.205,-6.306578950536049
2020-08-06T22:18:00.761,-6.289831488392059
2020-08-07T06:17:30.317,-6.271918819124593
2020-08-07T14:16:59.873,-6.254590826647792
2020-08-07T22:16:29.429,-6.236164481885407
2020-08-08T06:15:58.985,-6.217735652632915
2020-08-08T14:15:28.541,-6.199740500644516
2020-08-08T22:14:58.97,-6.180804315562983
2020-08-09T06:14:27.653,-6.161471146919039
2020-08-09T14:13:57.209,-6.142437206048878
2020-08-09T22:13:26.765,-6.122651390594488
2020-08-10T06:12:56.321,-6.102822685383617
2020-08-10T14:12:25.877,-6.082653011873734
2020-08-10T22:11:55.433,-6.062638493126622
