"; Table containing the values of L0, B0, apparent solar radius (as seen from Solar Orbiter) and the Solar Orbiter roll angle. Three values per day are reported from 2020-06-01 00:00:00 to 2022-06-06 16:00:00",,,,
SolarOrbiterUT,HGlat_B0(deg),HGlon_L0(deg),SolarApparentRadius(arcsec),SolarOrbiterRollAngle(deg)
2021-01-16 16:00:00,-1.2424942187087915,146.08006544699023,1625.7440949377678,-1.5627062467579849
2021-01-17 00:00:00,-1.2215481638607268,146.50496676185932,1631.606797733917,-1.5792858216749934
2021-01-17 08:00:00,-1.2002313398393016,146.93536322351437,1637.4834040662638,-1.5955539128513554
2021-01-17 16:00:00,-1.1785419895504943,147.37128762576208,1643.3724737629877,-1.6113228608011048
2021-01-18 00:00:00,-1.1564785368841937,147.812771478717,1649.27250690467,-1.6272200519115214
2021-01-18 08:00:00,-1.1340395756823403,148.2598449317448,1655.1819430114226,-26.371146439693934
2021-01-18 16:00:00,-1.1112238959008054,148.71253667894578,1661.099159137856,-101.16902056661645
2021-01-19 00:00:00,-1.0880304955839104,149.17087394947757,1667.0224698978868,-101.34689993632733
2021-01-19 08:00:00,-1.064458591983512,149.63488234525963,1672.9501258983457,-101.5310435198979
2021-01-19 16:00:00,-1.0405076264427155,150.1045857878818,1678.8803131145744,-1.7037198050735032
2021-01-20 00:00:00,-1.0161772905774624,150.58000642855532,1684.8111519066922,-1.7183322909175174
2021-01-20 08:00:00,-0.9914675233714588,151.06116456663077,1690.740696495805,-1.7314526466102769
2021-01-20 16:00:00,-0.9663785177057129,151.5480785641525,1696.666934669972,-1.7469087450991947
2021-01-21 00:00:00,-0.9409107335836403,152.04076475007957,1702.5877870529685,-1.7606763851667226
2021-01-21 08:00:00,-0.91506492382867,152.53923732895728,1708.5011067222295,-1.7742119581674836
2021-01-21 16:00:00,-0.8888421241147043,153.04350828461907,1714.4046789433696,-1.7875054537293436
2021-01-22 00:00:00,-0.8622436961284713,153.55358728763235,1720.2962210083476,-1.8005075116281273
2021-01-22 08:00:00,-0.8352713114385674,154.06948159509645,1726.1733822798035,-1.8131627367492795
2021-01-22 16:00:00,-0.8079269686488205,154.5911959533113,1732.0337443029277,-1.8255173131489362
2021-01-23 00:00:00,-0.780213019513893,155.1187325002841,1737.8748210754848,-1.8374981137807826
2021-01-23 08:00:00,-0.7521321782956791,155.65209066554053,1743.6940595069564,-1.849210837157183
2021-01-23 16:00:00,-0.7236874960465817,156.19126706686674,1749.4888401979265,-1.860542128198959
2021-01-24 00:00:00,-0.6948824365257222,156.73625541567765,1755.2564782094198,-1.871438732386518
2021-01-24 08:00:00,-0.665720839285729,157.287046412073,1760.9942236193722,-1.882017560702592
2021-01-24 16:00:00,-0.6362069273563037,157.8436276445973,1766.6992629743063,-1.8922361739124185
2021-01-25 00:00:00,-0.6063454058540814,158.40598349845823,1772.3687206798184,-1.9019853430101468
2021-01-25 08:00:00,-0.5761412928328911,158.97409504175252,1777.9996605935505,-1.9113354480299116
2021-01-25 16:00:00,-0.545600108691194,159.54793994512406,1783.5890877732543,-1.92032349984316
2021-01-26 00:00:00,-0.5147278351976775,160.12749238086454,1789.1339505795775,-1.9287760447547697
2021-01-26 08:00:00,-0.4835308574625035,160.7127229249207,1794.6311429119394,-1.9368487904624436
2021-01-26 16:00:00,-0.45201603881083346,161.30359847218543,1800.0775067080824,-1.944476360521671
2021-01-27 00:00:00,-0.4201907060511151,161.9000821472285,1805.4698346860557,-1.9515826126439693
2021-01-27 08:00:00,-0.3880626567042012,162.50213322044743,1810.8048733340916,-1.958203545926823
2021-01-27 16:00:00,-0.3556401620983845,163.10970702775668,1816.0793261492877,-1.964313364258391
2021-01-28 00:00:00,-0.32293199420265634,163.7227548966336,1821.2898571305693,-1.969969905750234
2021-01-28 08:00:00,-0.28994739380435103,164.3412240721566,1826.4330945239376,-1.9751105101155915
2021-01-28 16:00:00,-0.2566961039689837,164.96505765360658,1831.505634823263,-1.979714438963349
2021-01-29 00:00:00,-0.22318835409983476,165.59419453284548,1836.5040470361728,-1.9837436805212114
2021-01-29 08:00:00,-0.18943487422761493,166.22856934111067,1841.4248771906148,-1.9872628368938272
2021-01-29 16:00:00,-0.15544688034304147,166.86811239974367,1846.2646530148222,-1.990206426182505
2021-01-30 00:00:00,-0.12123608301232017,167.51274968017677,1851.0198890288727,-1.9925888540176582
2021-01-30 08:00:00,-0.08681468538057951,168.16240276985818,1855.687091743549,-1.9943831378378274
2021-01-30 16:00:00,-0.05219536871233975,168.81698884496407,1860.2627651198409,-1.9955637540729192
2021-01-31 00:00:00,-0.017391299147759633,169.4764206524866,1864.7434162479399,-1.9962112670354226
2021-01-31 08:00:00,0.017583894537268267,170.1406064982699,1869.1255612334785,-1.9961787760025178
2021-01-31 16:00:00,0.05271610569043337,170.80945024639877,1873.405731278912,-1.9955167708554105
2021-02-01 00:00:00,0.08799079106509033,171.4828513230062,1877.5804789441809,-1.994308183719637
2021-02-01 08:00:00,0.12339295345773041,172.1607047339393,1881.6463847115167,-1.992489738095935
2021-02-01 16:00:00,0.15890717062001847,172.8429010857622,1885.6000631579257,-1.9899219278536262
2021-02-02 00:00:00,0.1945176126459062,173.52932662029644,1889.4381699992332,-1.986741845483789
2021-02-02 08:00:00,0.2302080491379006,174.21986325759718,1893.1574088276625,-1.9829348646008982
2021-02-02 16:00:00,0.2659618595592724,174.91438864862846,1896.754537970611,-1.9784329453475797
2021-02-03 00:00:00,0.3017620864827797,175.6127762349433,1900.2263774342375,-1.9733299425835527
2021-02-03 08:00:00,0.33759141539396176,176.31489532336,1903.569815880878,-1.9675095639482216
2021-02-03 16:00:00,0.3734322256474964,177.0206111670763,1906.7818176131207,-21.960962894420923
2021-02-04 00:00:00,0.40926659895368933,177.7297850588632,1909.8594295358776,-1.9538544434440155
2021-02-04 08:00:00,0.4450763537927831,178.4422744249002,1912.7997880774988,-1.9460242332965991
2021-02-04 16:00:00,0.48084306862580767,179.15793294555803,1915.6001260304777,-1.937506990080879
2021-02-05 00:00:00,0.5165481047189295,179.87661067576784,1918.257779280845,-1.9282969917449562
2021-02-05 08:00:00,0.5521726625811798,-179.40184582554974,1920.770193403138,-1.9184497220275578
2021-02-05 16:00:00,0.5876977594246181,-178.67759335323126,1923.1349300888828,43.09211333339933
2021-02-06 00:00:00,0.6231043219224858,-177.950791909524,1925.349673383886,-1.8965652848313947
2021-02-06 08:00:00,0.6583731773386108,-177.22160452540638,1927.4122356831467,-1.8846479203481359
2021-02-06 16:00:00,0.6934851037547198,-176.49019711020793,1929.3205635279917,-1.871968329309878
2021-02-07 00:00:00,0.7284208123527218,-175.75673826758495,1931.0727430090183,-1.85871832289419
2021-02-07 08:00:00,0.7631610964809625,-175.02139911570987,1932.667004778986,-1.844675686482558
2021-02-07 16:00:00,0.7976868307617294,-174.28435309087644,1934.101729109412,-1.8300706453925497
2021-02-08 00:00:00,0.8319788062399389,-173.54577573629837,1935.3754502351164,-1.814722999813573
2021-02-08 08:00:00,0.8660181030974606,-172.80584451338808,1936.4868605266402,-1.7986767466105613
2021-02-08 16:00:00,0.8997859093521291,-172.06473857913952,1937.4348138113212,-1.7819594935069472
2021-02-09 00:00:00,0.9332635767586845,-171.32263856712996,1938.2183288793656,-1.7647137716782564
2021-02-09 08:00:00,0.9664326998197037,-170.57972636735215,1938.836592196012,-1.7467622674346037
2021-02-09 16:00:00,0.9992751248351504,-169.8361848980506,1939.288960191206,-1.7282344442740618
2021-02-10 00:00:00,1.0317730187113687,-169.09219787710907,1939.574961097869,-1.7090779740609108
2021-02-10 08:00:00,1.0639088514925468,-168.34794958648175,1939.6942962893804,-1.6892734770098565
2021-02-10 16:00:00,1.0956654578716147,-167.60362463862472,1939.6468411358114,-1.668784645010474
2021-02-11 00:00:00,1.1270260793508822,-166.85940774073393,1939.4326453708743,-1.6477375238159317
2021-02-11 08:00:00,1.1579743695650762,-166.11548345666623,1939.0519329420276,-1.62623530233373
2021-02-11 16:00:00,1.1884944313529548,-165.37203597078448,1938.5051013704297,-1.6039925842340272
2021-02-12 00:00:00,1.2185708604935728,-164.629248852942,1937.792720614253,-1.5812492846070392
2021-02-12 08:00:00,1.2481887448921114,-163.88730482232006,1936.9155314753746,-1.5580480795199045
2021-02-12 16:00:00,1.2773337187759157,-163.1463855198653,1935.8744434014932,-1.5341981018117061
2021-02-13 00:00:00,1.305991956664378,-162.40667127618224,1934.670531996218,-1.509847916543561
2021-02-13 08:00:00,1.334150218431844,-161.66834088851266,1933.3050359710064,-1.485123263618332
2021-02-13 16:00:00,1.3617958585130356,-160.9315714004351,1931.779353676205,-1.4598063313969254
2021-02-14 00:00:00,1.3889168465337975,-160.19653788731213,1930.0950392175966,-1.4339052891851456
2021-02-14 08:00:00,1.4155017724956043,-159.46341324720322,1928.253798175253,-1.4076886467649699
2021-02-14 16:00:00,1.4415398830149975,-158.73236799946918,1926.257482947307,-1.3810310993819148
2021-02-15 00:00:00,1.4670210712970801,-158.003570089045,1924.108087743645,-1.353960870999793
2021-02-15 08:00:00,1.4919358981741313,-157.27718469783727,1921.807743338151,-1.3264716813290165
2021-02-15 16:00:00,1.5162756012854537,-156.55337407088808,1919.3587112042253,-1.2986027400257723
2021-02-16 00:00:00,1.5400320870469637,-155.83229734141887,1916.7633778301154,-1.2702241323793484
2021-02-16 08:00:00,1.56319795737507,-155.11411037142224,1914.024248535588,-1.2416648856848655
2021-02-16 16:00:00,1.585766485341611,-154.39896559980312,1911.1439411131553,-1.2127178298708117
2021-02-17 00:00:00,1.6077316425549713,-153.68701190167428,1908.1251793012736,-1.1834593220242806
2021-02-17 08:00:00,1.6290880793742673,-152.97839445654537,1904.970786109858,-1.1538725533548013
2021-02-17 16:00:00,1.649831119192112,-152.27325462736613,1901.6836770199084,-1.1239409277982673
2021-02-18 00:00:00,1.6699567684720926,-151.57172985051614,1898.2668530972114,-1.0937972840066328
2021-02-18 08:00:00,1.6894616950455874,-150.873953535976,1894.7233940463282,178.9365173007124
2021-02-18 16:00:00,1.708343237924549,-150.18005497796563,1891.0564512309986,-1.032831279431495
2021-02-19 00:00:00,1.7265993573636835,-149.49015927653087,1887.269240688542,-1.0020231183312154
