67,4,3,8,16,152,159,8,155,12.4498996,5.5,1.513037342,160.5,8.173457716
68,4,4,8,16,160,167,8,163,12.76714533,5.5,1.43877784,168.5,7.963653365
69,4,5,8,16,168,175,8,171,13.07669683,5.5,1.371466596,176.5,7.76919898
70,4,6,8,16,176,183,8,179,13.37908816,5.5,1.310172,184.5,7.588311568
71,4,7,8,16,184,191,8,187,13.67479433,5.5,1.254121861,192.5,7.419484987
72,4,8,8,16,192,199,8,195,13.96424004,5.5,1.202670708,200.5,7.261437056
73,4,9,8,16,200,207,8,203,14.24780685,5.5,1.155274818,208.5,7.113068511
74,4,10,8,16,208,215,8,211,14.52583905,5.5,1.111472929,216.5,6.973430791
75,4,11,8,16,216,223,8,219,14.79864859,5.5,1.070871178,224.5,6.841700486
76,4,12,8,16,224,231,8,227,15.06651917,5.5,1.033131225,232.5,6.717158891
77,4,13,8,16,232,239,8,235,15.32970972,5.5,0.9979608,240.5,6.599175498
78,4,14,8,16,240,247,8,243,15.58845727,5.5,0.965106123,248.5,6.487194556
79,4,15,8,16,248,255,8,251,15.84297952,5.5,0.934345769,256.5,6.380724055
80,5,0,16,16,256,271,16,263,16.21727474,21.5,1.763045341,284.5,6.413356575
81,5,1,16,16,272,287,16,279,16.70329309,21.5,1.661938798,300.5,6.213238646
82,5,2,16,16,288,303,16,295,17.17556404,21.5,1.571799745,316.5,6.030659958
83,5,3,16,16,304,319,16,311,17.63519209,21.5,1.490935449,332.5,5.863209816
84,5,4,16,16,320,335,16,327,18.08314132,21.5,1.417984479,348.5,5.708915811
85,5,5,16,16,336,351,16,343,18.52025918,21.5,1.351839431,364.5,5.566146674
86,5,6,16,16,352,367,16,359,18.94729532,21.5,1.29159032,380.5,5.433540168
87,5,7,16,16,368,383,16,375,19.36491673,21.5,1.236482466,396.5,5.309948734
88,5,8,16,16,384,399,16,391,19.77371993,21.5,1.185884718,412.5,5.194397957
89,5,9,16,16,400,415,16,407,20.174241,21.5,1.139265171,428.5,5.086054434
90,5,10,16,16,416,431,16,423,20.5669638,21.5,1.096172399,444.5,4.984200625
91,5,11,16,16,432,447,16,439,20.95232684,21.5,1.056220785,460.5,4.888214974
92,5,12,16,16,448,463,16,455,21.33072901,21.5,1.019078956,476.5,4.797556034
93,5,13,16,16,464,479,16,471,21.70253441,21.5,0.984460562,492.5,4.711749686
94,5,14,16,16,480,495,16,487,22.06807649,21.5,0.952116889,508.5,4.630378761
95,5,15,16,16,496,511,16,503,22.42766149,21.5,0.921830864,524.5,4.553074549
96,6,0,32,16,512,543,32,527,22.95648057,85.5,1.754577041,612.5,4.696155093
97,6,1,32,16,544,575,32,559,23.64318084,85.5,1.654136137,644.5,4.541503497
98,6,2,32,16,576,607,32,591,24.31049156,85.5,1.564572082,676.5,4.400949849
99,6,3,32,16,608,639,32,623,24.95996795,85.5,1.484208829,708.5,4.272498123
100,6,4,32,16,640,671,32,655,25.59296778,85.5,1.411697863,740.5,4.15452361
101,6,5,32,16,672,703,32,687,26.21068484,85.5,1.345941922,772.5,4.045689115
102,6,6,32,16,704,735,32,719,26.81417536,85.5,1.286039083,804.5,3.944883061
103,6,7,32,16,736,767,32,751,27.40437921,85.5,1.231241146,836.5,3.851173066
104,6,8,32,16,768,799,32,783,27.98213716,85.5,1.180922223,868.5,3.763770633
105,6,9,32,16,800,831,32,815,28.54820485,85.5,1.134554724,900.5,3.682003948
